"Tabel 1.8. Rata-Rata Tekanan Udara dan Kecepatan Angin Setiap Bulan yang Tercatat di Stasiun Meteorologi Saumlaki, 2012",,,,,,
,,,,,,
Bulan,Tekanan Udara / Athmospheric Pressure (mb) Minimum ,Tekanan Udara / Athmospheric Pressure (mb) Maksimum ,Tekanan Udara / Athmospheric Pressure (mb) Rata-Rata ,Rata-Rata Kecepatan Angin (%),,
Januari ,1004.1,1011.8,1008.6,5.0,,
Pebruari ,1006.5,1011.2,1006.0,4.0,,
Maret ,1005.5,1012.8,1008.6,4.0,,
April ,1007.5,1015.0,1011.4,5.0,,
Mei ,1008.3,1012.8,1011.0,7.0,,
Juni ,1010.3,1015.4,1013.1,7.0,,
Juli ,1010.1,1014.8,1012.5,10.0,,
Agustus ,1012.0,1015.3,1014.4,9.0,,
September ,1011.9,1014.7,1013.4,7.0,,
Oktober ,1010.3,1015.5,1012.2,6.0,,
Nopember ,1009.5,1012.0,1010.9,5.0,,
Desember ,1006.9,1012.1,1009.4,4.0,,
2012,1008.6,1013.6,1011.0,6.1,,
