Tabel 8.1. Alat Transportasi yang Digunakan untuk Menjangkau Desa-Desa dari Ibukota Kecamatan,
,
Desa ,Alat Transportasi
Lorwembun, Angkutan Darat / Land Transportation
Alusi Batjas , Angkutan Darat / Land Transportation
Alusi Tamrian , Angkutan Darat / Land Transportation
Alusi Bukjalim , Angkutan Darat / Land Transportation
Alusi Kelaan , Angkutan Darat / Land Transportation
Alusi Krawain, Angkutan Darat / Land Transportation
Meyano Raya , Angkutan Darat / Land Transportation
Kilmasa , Angkutan Darat / Land Transportation
Lumasebu , Angkutan Darat / Land Transportation
