"Tabel 1.2.2 Rata-rata Tekanan Udara dan Kecepatan Angin Setiap Bulan di Kabupaten Maluku Tenggara Barat, 2010 – 2012",,,,
,,,,
Bulan Month,Tekanan UdaraAthmospheric Pressure(mb) Minimum Minimum,Tekanan UdaraAthmospheric Pressure(mb) Maksimum Maximum,Tekanan UdaraAthmospheric Pressure(mb) Rata–rata Average,Rata-rataKecepatan AnginAverage of WindSpeed (knot)
Januari,1 004.1,1 011.8,1 008.6,5
Pebruari,1 006.5,1 011.2,1 006.0,4
Maret,1 005.5,1 012.8,1 008.6,4
April,1 007.5,1 015.0,1 011.4,5
Mei,1 008.3,1 012.8,1 011.0,7
Juni,1 010.3,1 015.4,1 013.1,7
Juli,1 010.1,1 014.8,1 012.5,10
Agustus,1 012.8,1 015.3,1 014.4,9
September,1 011.9,1 014.7,1 013.4,7
Oktober,1 010.3,1 015.5,1 012.2,6
Nopember,1 009.5,1 012.0,1 010.9,5
Desember,1 006.9,1 012.1,1 009.4,4
2011,1 008.6,1 013.6,1 011.0,6.1
2010,1 008.0,1 013.0,1 010.8,7
2009,-,1 013.9,1 011.6,6.3
