"Tabel 1.2.1 Rata-rata Suhu Udara dan Kelembaban Relatif Setiap Bulan di Kabupaten Maluku Tenggara Barat, 2012",,,,,
,,,,,
Bulan,Suhu Udara (°C)  Minimum ,Suhu Udara (°C)  Maksimum ,Suhu Udara (°C)  Rata­rata ,Rata-rata Kelembaban Relatif (%),
Januari ,23.7,33.5,27.9,85,
Pebruari ,23.0,33.4,27.7,84,
Maret ,24.0,35.0,27.3,87,
April ,24.0,33.0,26.8,81,
Mei ,23.2,31.6,26.5,86,
Juni ,21.4,30.1,29.0,77,
Juli ,23.2,38.0,25.9,80,
Agustus ,23.1,30.5,25.9,76,
September ,22.0,31.8,26.6,79,
Oktober ,23.6,32.6,28.0,77,
Nopember ,24.2,34.6,29.1,79,
Desember ,23.5,35.4,29.2,78,
2012,23.2,33.3,27.5,80.8,
2011,25.4,30.7,27.2,81.0,
2010,25.5,31.3,27.6,84.0,
