"Tabel 4.1.1 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas TK, SD, SMTP dan SMTA di Kecamatan Nirunmas, 2009-2012",,,,,,,,
,,,,,,,,
Uraian,2009 Negeri ,2009 Swasta ,2010 Negeri ,2010 Swasta ,2011 Negeri ,2011 Swasta ,2012 Negeri ,2012 Swasta
Gedung Sekolah,,,,,,,,
TK ,0,5,0,6,0,6,0,6
SD ,5,6,5,6,5,6,4,6
SMTP ,5,0,5,0,5,0,5,0
SMTA ,2,0,2,0,2,0,2,0
Sekolah,,,,,,,,
TK ,0,5,0,6,0,6,0,6
SD ,5,6,5,6,5,6,5,6
SMTP ,5,0,5,0,5,0,5,0
SMTA ,2,0,2,0,2,0,2,0
Ruang Kelas,,,,,,,,
TK ,0,5,0,6,0,6,0,10
SD ,30,36,30,36,30,36,30,36
SMTP ,15,0,15,0,15,0,15,0
SMTA ,6,0,6,0,6,0,14,0
Kelas,,,,,,,,
TK ,0,5,0,6,0,6,0,6
SD ,30,36,30,36,30,36,30,36
SMTP ,15,0,15,0,15,0,15,0
SMTA ,6,0,6,0,6,0,10,0
