"Tabel 4.1.2 Jumlah Murid, Guru dan Rasio Muri Guru TK, SD, SMTP dan SMTA di Kecamatan Nirunmas, 2009-2012",,,,,,,,
,,,,,,,,
Uraian ,Murid  Laki- laki ,Murid  Perem puan  ,Murid  Jumlah ,Guru Laki- laki ,Guru Perem puan,GuruJumlah,Rasio Murid Guru,
TK ,83,82,165,2,18,20,8.3,
Negeri ,0,0,0,0,0,0,0,
Swasta ,83,82,165,2,18,20,8.3,
SD ,686,653,1339,27,52,79,9.4,
Negeri ,291,280,571,9,19,28,20.4,
Swasta ,395,373,768,18,33,51,15.1,
SMTP ,284,278,562,24,30,54,10.3,
Negeri ,284,278,562,24,30,54,10.3,
Swata ,0,0,0,0,0,0,0,
SMTA ,127,100,227,8,12,20,14.2,
Negeri ,127,100,227,8,12,20,14.2,
Swasta ,0,0,0,0,0,0,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
