"Tabel 4.2.3 Banyaknya Tenaga Medis Menurut Unit Kerja di Kecamatan Nirunmas, 2009 - 2012",,,,,,,,
,,,,,,,,
Unit Kerja,Tenaga Medis Dokter ,Tenaga Medis Perawat ,Tenaga Medis Bidan ,Tenaga Medis Farmasi,Tenaga Medis Ahli Gizi ,Tenaga Medis Sanitasi,Tenaga Medis Kesehatan,
Rumah Sakit ,0,0,0,0,0,0,0,
Rumah Bersalin ,0,0,0,0,0,0,0,
Puskesmas ,3,10,2,0,1,1,0,
Pustu ,0,2,2,0,,,,
Posyandu ,0,0,0,0,0,0,0,
Klinik/Balai Kesehatan ,0,0,0,0,0,0,0,
Polindes ,0,0,0,0,0,0,0,
2012,3,12,4,0,1,1,0,
2011,3,16,4,0,1,1,0,
2010,3,10,4,0,0,0,0,
2009,2,10,4,0,0,0,0,
,,,,,,,,
,,,,,,,,
