"Tabel 4.2.6 Jumlah Kasus 10 Penyakit Terbanyak di Kecamatan Nirunmas, 2012",,,,,,,,,,,,
,,,,,,,,,,,,
Jenis Penyakit ,Banyak Kasus,,,,,,,,,,,
1. Ispa ,1179,,,,,,,,,,,
"2. Otot, Jaringan dan Sendi ",892,,,,,,,,,,,
3. Infeksi Penyakit Usus Lain ,349,,,,,,,,,,,
4. Hipertensi ,166,,,,,,,,,,,
5. Diare ,147,,,,,,,,,,,
6. Malaria Falsifarum ,147,,,,,,,,,,,
7. Penyakit Kulit Alergi ,145,,,,,,,,,,,
8. Karies Gigi ,124,,,,,,,,,,,
9. Malaria Mix ,117,,,,,,,,,,,
10. Penyakit Kulit Infeksi ,78,,,,,,,,,,,
