"Tabel 1.2.2 Rata-rata Tekanan Udara dan Kecepatan Angin Setiap Bulan di Kabupaten Maluku Tenggara Barat, 2012",,,,
,,,,
Bulan,Tekanan Udara (mb) Minimum, Tekanan Udara (mb) Maksimum,Tekanan Udara (mb) Rata-­rata,Rata-rata Kecepatan Angin (knot)
Januari,1004.1,1011.8,1008.6,5
Pebruari,1006.5,1011.2,1006,4
Maret,1005.5,1012.8,1008.6,4
April,1007.5,1015,1011.4,5
Mei,1008.3,1012.8,1011,7
Juni,1010.3,1015.4,1013.1,7
Juli,1010.1,1014.8,1012.5,10
Agustus,1012.8,1015.3,1014.4,9
September,1011.9,1014.7,1013.4,7
Oktober,1010.3,1015.5,1012.2,6
Nopember,1009.5,1012.2,1010.2,5
Desember,1006.9,1012.1,1009.4,4
