"Tabel 1.2.2 Rata-Rata Suhu Udara dan Kelembaban Relatif Setiap Bulan di Kecamatan Tanimbar Selatan, 2012",,,,
,,,,
Bulan,Suhu Udara (°C)  Minimum ,Suhu Udara (°C)  Maksimum ,Suhu Udara (°C)  Rata-rata ,Rata-rata Kelembaban (%)
Januari,23.7,33.5,27.9,85
Pebruari,23,33.4,27.7,84
Maret,24,35,27.3,87
April,24,33,26.8,81
Mei,23.2,31.6,26.5,86
Juni,21.4,30.1,29,77
Juli,23.2,38,25.9,80
Agustus,23.1,30.5,25.9,76
September,22,30.8,26.6,79
Oktober,23.6,32.6,28,77
Nopember,24.2,34.6,29.1,79
Desember,23.5,35.4,29.2,78
2012,23.2,33.3,27.5,81
