"Tabel 3.1. Luas Wilayah, Jumlah Penduduk, dan Kepadatan Penduduk Menurut Desa di Kecamatan Tanimbar Selatan, 2012",,,,,
,,,,,
Desa,Luas km2 ,Luas %,Penduduk (orang) Jumlah ,Penduduk (orang) %,Kepadatan Penduduk (orang/km2)
Saumlaki ,12.39,1.5,"12,578",38.03,1015.17
Olilit ,57.8,7,"5,994",18.13,103.7
Sifnana ,11.93,1.44,"3,000",9.07,251.47
Lauran ,24.79,3,"2,245",6.79,90.56
Kabyarat ,88.44,10.71,607,1.84,11.83
Ilngei ,130.25,15.77,"1,703",5.15,6.86
Wowonda ,74.88,9.06,"1,831",5.54,24.45
Bomaki ,- ,- ,"1,102",3.33,
Lermatan ,167,20.22,"1,116",3.37,6.68
Latdalam ,258.22,31.27,"2,428",7.34,9.4
Matakus ,-,- ,466,1.41,-
