"Tabel 3.3 Banyaknya Penduduk Menurut Desa dan Jenis Kelamin di Kecamatan Tanimbar Selatan, 2012",,,,,
,,,,,
Desa ,Penduduk (orang)  Laki ,Penduduk (orang)  Perempuan ,Penduduk (orang)  Jumlah,Rasio Jenis Kelamin,
(1) ,(2) ,(3) ,(4) ,(5),
Saumlaki ,"6,477","6,101","12,578",1.06,
Olilit ,"3,037","2,951","5,994",1.03,
Sifnana ,"1,505","1,495","3,000",1.01,
Lauran ,"1,111","1,134","2,245",0.98,
Kabyarat Raya ,310,297,607,1.04,
Ilngei ,869,834,"1,703",1.04,
Wowonda ,882,949,"1,831",0.93,
Bomaki ,573,529,1102,1.08,
Lermatang ,570,546,"1,116",1.04,
Latdalam ,"1,241","1,187","2,428",1.05,
Matakus ,245,221,466,1.11,
