"Tabel 4.1.10 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru,dan Rasio Murid Guru Sekolah Menegah Tingkat Atas Menurut Desa diKecamatan Tanimbar Selatan, 2008 – 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki- laki ,Murid  Perem puan ,Murid  Jumlah ,Guru  Laki- laki ,Guru  Perem puan,Guru  Jumlah,Rasio Murid Guru
Kelurahan Saumlaki ,4,4,40,40,768,861,"1,629",38,88,126,12.93
Olilit ,0,0,0,0,0,0,0,0,0,0,0
Sifnana ,1,1,21,21,385,342,727,15,37,52,13.98
Lauran ,0,0,0,0,0,0,0,0,0,0,0
Kabyarat ,0,0,0,0,0,0,0,0,0,0,0
Ilngei ,0,0,0,0,0,0,0,0,0,0,0
Wowonda ,0,0,0,0,0,0,0,0,0,0,0
Bomaki ,0,0,0,0,0,0,0,0,0,0,0
Lermatang ,0,0,0,0,0,0,0,0,0,0,0
Latdalam ,1,1,5,3,63,54,117,4,5,9,13
Matakus ,0,0,0,0,0,0,0,0,0,0,0
2012,6,6,66,64,"1,216","1,257","2,473",57,130,187,13.22
2011,5,5,54,61,815,913,"1,728",50,101,151,11.44
2010,5,5,31,48,- ,- ,"1,811",- ,- ,270,6.71
2009,13,13,124,124,- ,- ,"3,185",- ,- ,297,10.72
2008,4,4,36,36,- ,- ,"1,296",- ,- ,84,15.43
