"Tabel 4.1.12 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Menegah Atas Swasta Menurut Desa di Kecamatan Tanimbar Selatan, 2008 ­ 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki- laki ,Murid  Perem puan ,Murid  Jumlah ,Guru  Laki- laki ,Guru  Perem puan,Guru  Jumlah,Rasio Murid Guru
Kelurahan Saumlaki ,2,2,15,15,302,357,659,16,34,50,13.18
Olilit ,0,0,0,0,0,0,0,0,0,0,0
Sifnana ,0,0,0,0,0,0,0,0,0,0,0
Lauran ,0,0,0,0,0,0,0,0,0,0,0
Kabyarat ,0,0,0,0,0,0,0,0,0,0,0
Ilngei ,0,0,0,0,0,0,0,0,0,0,0
Wowonda ,0,0,0,0,0,0,0,0,0,0,0
Bomaki ,0,0,0,0,0,0,0,0,0,0,0
Lermatang ,0,0,0,0,0,0,0,0,0,0,0
Latdalam ,0,0,0,0,0,0,0,0,0,0,0
Matakus ,0,0,0,0,0,0,0,0,0,0,0
2012,2,2,15,15,302,357,659,16,34,50,13.18
2011,2,2,15,16,289,378,667,19,36,55,12.13
2010,3,3,16,19,-,-,939,-,-,71,13.23
2009,3,3,24,24,-,-,779,-,-,56,13.91
2008,3,3,25,25,-,-,94,-,-,10,9.40
