"Tabel 4.1.2 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Taman Kanak-Kanak Negeri Menurut Desa di Kecamatan Tanimbar Selatan, 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung  Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid Laki- laki ,Murid  Perem puan ,Murid  Jumlah ,Guru  Laki- laki,Guru  Perem puan,Guru  Jumlah,Rasio Murid Guru
Saumlaki ,1,1,2,2,- ,- ,54,- ,- ,13,4.15
Olilit ,0,0,0,0,0,0,0,0,0,0,0
Sifnana ,0,0,0,0,0,0,0,0,0,0,0
Lauran ,0,0,0,0,0,0,0,0,0,0,0
Kabyarat ,0,0,0,0,0,0,0,0,0,0,0
Ilngei ,0,0,0,0,0,0,0,0,0,0,0
Wowonda ,0,0,0,0,0,0,0,0,0,0,0
Bomaki ,0,0,0,0,0,0,0,0,0,0,0
Lermatang ,0,0,0,0,0,0,0,0,0,0,0
Latdalam ,0,0,0,0,0,0,0,0,0,0,0
Matakus ,0,0,0,0,0,0,0,0,0,0,0
2012,1,1,2,2,- ,- ,54,- ,- ,13,4.15
