"Tabel 4.1.5 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Dasar Negeri Menurut Desa di Kecamatan Tanimbar Sekatan, 2008 ­ 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid Laki- laki ,Murid Perem puan ,Murid Jumlah ,Guru  Laki- laki ,Guru  Perem puan,Guru  Jumlah,Rasio Murid Guru
Saumlaki ,2,2,22,30,556,516,"1,072",9,43,52,20.62
Olilit ,0,0,0,0,0,0,0,0,0,0,0
Sifnana ,1,1,7,9,136,117,253,4,17,21,12.05
Lauran ,0,0,0,0,0,0,0,0,0,0,0
Kabyarat ,0,0,0,0,0,0,0,0,0,0,0
Ilngei ,1,1,6,6,22,22,44,2,9,11,4
Wowonda ,0,0,0,0,0,0,0,0,0,0,0
Bomaki ,0,0,0,0,0,0,0,0,0,0,0
Lermatang ,0,0,0,0,0,0,0,0,0,0,0
Latdalam ,1,1,9,6,83,61,144,3,4,7,20.57
Matakus ,1,1,5,6,59,62,121,4,7,11,11
2012,6,6,49,57,856,778,"1,634",22,80,102,16.02
2011,6,6,41,52,710,610,"1,320",26,69,95,13.89
2010,6,6,52,52,- ,- ,"1,335",- ,- ,104,12.84
2009,6,6,53,53,- ,- ,"4,354",- ,- ,346,12.58
2008,6,6,53,53,- ,- ,"1,247",- ,- ,85,14.67
