"Tabel 4.1.6 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Dasar Swasta Menurut Desa di Kecamatan Tanimbar Selatan, 2008 ­ 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid Laki-laki ,Murid Perempuan,Murid Jml ,Guru  Laki-laki,Guru  Perempu an,Guru  jml,Rasio Murid Guru
Saumlaki ,5,5,41,45,561,572,"1,133",12,54,66,17.17
Olilit ,2,2,12,15,230,193,423,9,21,30,14.10
Sifnana ,1,1,6,8,105,117,222,4,17,21,10.57
Lauran ,2,2,12,13,171,159,330,5,16,21,15.71
Kabyarat ,1,1,8,6,46,66,100,1,9,10,10.00
Ilngei ,1,1,9,9,115,142,257,4,10,14,18.36
Wowonda ,2,2,13,12,156,146,302,6,17,23,13.13
Bomaki ,1,1,5,6,90,81,171,2,7,9,19.00
Lermatang ,1,1,6,7,111,109,220,4,4,8,27.50
Latdalam ,2,2,10,12,183,156,339,6,15,21,16.14
Matakus ,0,0,0,0,- ,- ,- ,-,- ,-,
2012,18,18,122,133,"1,768","1,741","3,497",53,170,223,15.68
2011,18,18,113,118,"1,766","1,766","3,532",51,167,218,16.2
2010,17,17,131,131,- ,- ,"3,401",-,- ,242,14.05
2009,17,17,107,107,- ,- ,"3,040",-,- ,242,12.56
2008,17,17,109,109,- ,- ,"3,043",-,- ,209,14.56
