"Tabel 4.1.7 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Menegah Pertama Menurut Desa di Kecamatan Tanimbar Selatan, 2008 ­ 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung  Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid Laki-laki ,Murid Perempuan,Murid Jml ,Guru  Laki-laki,Guru  Perempu an,Guru  jml,Rasio Murid Guru
Kelurahan Saumlaki ,6,6,53,113,721,684,"1,405",100,163,163,8.62
Olilit ,1,1,4,3,50,52,102,11,16,16,6.38
Sifnana ,1,1,10,12,131,173,304,25,38,38,8.00
Lauran ,1,1,3,3,21,26,47,6,12,12,3.92
Kabyarat ,0,0,0,0,0,0,0,0,0,0,0
Ilngei ,1,1,3,3,11,13,24,3,11,11,2.18
Wowonda ,1,1,6,6,100,85,185,9,18,18,10.28
Bomaki ,1,1,3,3,35,42,77,4,10,10,7.70
Lermatang ,1,1,3,3,38,32,70,3,8,8,8.75
Latdalam ,1,1,3,10,89,85,174,4,10,10,17.40
Matakus ,1,1,3,3,22,19,41,7,10,10,4.10
2012,15,15,91,159,"1,218","1,211","2,429",172,296,296,8.21
2011,14,14,79,82,"1,087","1,090","2,177",151,267,267,8.15
2010,14,14,77,84,-,-,"1,208",-,287,287,4.21
2009,14,14,81,81,-,-,"1,418",-,233,233,6.09
2008,12,12,65,65,-,-,"1,916",-,242,242,7.92
