"Tabel 4.1.8 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Menegah Pertama Negeri Menurut Desa di Kecamatan Tanimbar Selatan, 2008 ­ 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung  Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid Laki- laki ,Murid Perem puan ,Murid Jumlah ,Guru  Laki- laki ,Guru  Perem puan,Guru  Jumlah,Rasio Murid Guru
Kelurahan Saumlaki ,4,4,40,30,369,349,718,37,59,96,7.48
Olilit ,0,0,0,0,0,0,0,0,0,0,0.00
Sifnana ,1,1,10,12,131,173,304,13,25,38,8.00
Lauran ,0,0,0,0,0,0,0,0,0,0,0.00
Kabyarat ,0,0,0,0,0,0,0,0,0,0,0.00
Ilngei ,1,1,3,3,11,13,24,8,3,11,2.18
Wowonda ,1,1,6,6,100,85,185,9,9,18,10.28
Bomaki ,1,1,1,3,35,42,77,6,4,10,7.70
Lermatang ,1,1,3,3,38,32,70,5,3,8,8.75
Latdalam ,1,1,10,10,89,85,174,6,4,10,17.40
Matakus ,1,1,3,3,22,19,41,3,7,10,4.10
2012,11,11,76,70,795,798,"1,593",87,114,201,7.93
2011,9,9,53,54,624,710,"1,334",79,96,175,7.62
2010,9,9,51,84,-,-,"1,268",- ,- ,216,5.87
2009,9,9,51,51,-,-,619,- ,- ,146,4.24
2008,6,6,36,36,-,-,"1,237",- ,- ,145,8.53
