"Tabel 4.1.9 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Menegah Pertama Swasta Menurut Desa di Kecamatan Tanimbar Selatan, 2008 ­ 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid Laki- laki ,Murid Perem puan ,Murid Jumlah ,Guru  Laki- laki ,Guru  Perem puan,Guru  Jumlah,Rasio Murid Guru
Kelurahan Saumlaki ,3,3,22,23,352,335,687,26,41,67,10.25
Olilit ,1,1,3,9,50,52,102,5,11,16,6.38
Sifnana ,0,0,0,0,0,0,0,0,0,0,0
Lauran ,1,1,3,3,21,26,47,6,6,12,3.92
Kabyarat ,0,0,0,0,0,0,0,0,0,0,0
Ilngei ,0,0,0,0,0,0,0,0,0,0,0
Wowonda ,0,0,0,0,0,0,0,0,0,0,0
Bomaki ,0,0,0,0,0,0,0,0,0,0,0
Lermatang ,0,0,0,0,0,0,0,0,0,0,0
Latdalam ,0,0,0,0,0,0,0,0,0,0,0
Matakus ,0,0,0,0,0,0,0,0,0,0,0
2012,5,5,28,35,423,413,836,37,58,95,8.80
2011,5,5,29,31,463,380,843,37,55,92,9.16
2010,6,5,30,31,- ,- ,823,- ,- ,104,7.91
2009,5,5,30,30,- ,- ,799,- ,- ,87,9.18
2008,2,6,29,29,- ,- ,679,- ,- ,97,7.00
