"Tabel 5.5.3 Jumlah Perahu/Kapal Menurut Jenis Ikan di Kecamatan Tanimbar Selatan, 2012",,,,,,,,,,
,,,,,,,,,,
Desa ,Perahu Tanpa Motor Jukung ,Perahu Tanpa Motor Kecil ,Perahu Tanpa Motor Sedang ,Perahu Tanpa Motor Besar ,Perahu Motor Tempel,Kapal Motor,,,,
Saumlaki ,33,29,48,4,46,6,,,,
Olilit ,3,25,25,- ,23,-,,,,
Sifnana ,22,19,10,8,6,-,,,,
Lauran ,11,31,4,- ,17,-,,,,
Kabyarat ,7,10,7,5,3,-,,,,
Ilngei ,21,15,18,2,19,-,,,,
Wowonda ,15,13,18,8,20,-,,,,
Bomaki ,20,2,11,- ,3,-,,,,
Lermatang ,25,18,19,15,6,1,,,,
Latdalam ,66,55,31,11,53,-,,,,
Matakus ,22,14,16,- ,29,-,,,,
