"Tabel 5.5.4 Jumlah Alat Penangkap Ikan Menurut Jenis Ikan di Kecamatan Tanimbar Selatan, 2012",,,,,,,,,,
,,,,,,,,,,
Desa ,Pukat ,Jaring Insang ,Jaring Angkat ,Pancing ,Peran  gkap ,Alat Pengumpul & Alat Tangkap,Lainnya,,,
Saumlaki ,5,11,22,251,9,128,112,,,
Olilit ,- ,34,- ,63,22,51,51,,,
Sifnana ,- ,74,- ,74,11,89,88,,,
Lauran ,- ,64,- ,97,12,60,71,,,
Kabyarat ,- ,25,- ,24,8,30,26,,,
Ilngei ,- ,31,- ,169,14,49,27,,,
Wowonda ,- ,53,- ,71,17,54,73,,,
Bomaki ,- ,23,- ,50,- ,22,37,,,
Lermatang ,- ,43,- ,92,18,73,64,,,
Latdalam ,- ,195,- ,10,36,165,128,,,
Matakus ,- ,44,- ,37,15,31,53,,,
