"Tabel 6.1 Banyaknya Perusahaan Menurut Bentuk Badan Hukum di Kecamatan Tanimbar Selatan, 2012",,,,,,,,,,
,,,,,,,,,,
Desa ,PT ,CV/  Firma ,Kopera si ,Perorang an,Lainnya ,Jumlah,,,,
Saumlaki ,29,154,18,460,11,672,,,,
Olilit ,- ,5,2,63,1,71,,,,
Sifnana ,- ,11,3,36,- ,50,,,,
Lauran ,- ,1,- ,31,1,33,,,,
Kabyarat ,- ,- ,- ,9,- ,9,,,,
Ilngei ,- ,- ,- ,20,- ,20,,,,
Wowonda ,- ,2,- ,20,- ,22,,,,
Bomaki ,- ,- ,3,9,- ,12,,,,
Lermatang ,- ,- ,- ,4,- ,4,,,,
Latdalam ,- ,- ,3,9,- ,12,,,,
Matakus ,- ,- ,- ,- ,- ,-,,,,
