"Tabel 7.1.2 Armada Angkutan Darat di Kecamatan Tanimbar Selatan, 2011",,,,,,,,,,,,,
,,,,,,,,,,,,,
Desa ,Mobil Penumpan  g Umum,Mobil Bus ,Mobil Barang,Ojek,,,,,,,,,
Keluarahan Saumlaki ,- ,- ,- ,-,,,,,,,,,
Olilit ,8,- ,- ,-,,,,,,,,,
Sifnana ,35,- ,- ,-,,,,,,,,,
Lauran ,3,- ,- ,-,,,,,,,,,
Kabyarat ,3,- ,- ,-,,,,,,,,,
Ilngei ,3,- ,- ,-,,,,,,,,,
Wowonda ,4,- ,- ,-,,,,,,,,,
Bomaki ,2,- ,- ,-,,,,,,,,,
Lermatang ,2,- ,- ,-,,,,,,,,,
Latdalam ,4,- ,- ,-,,,,,,,,,
Matakus ,- ,- ,- ,-,,,,,,,,,
