"Tabel 7.1.3 Armada Angkutan Laut di Kecamatan Tanimbar Selatan, 2011",,,,,,,,,,,,,
,,,,,,,,,,,,,
Desa ,Kapal Pelni ,Kapal  Perintis ,Kapal Ferry ,Kapal Motor,Ketinting,,,,,,,,
Keluarahan Saumlaki,- ,- ,- ,- ,-,,,,,,,,
Olilit ,- ,- ,- ,- ,-,,,,,,,,
Sifnana ,- ,- ,- ,- ,-,,,,,,,,
Lauran ,- ,- ,- ,- ,-,,,,,,,,
Kabyarat ,- ,- ,- ,- ,-,,,,,,,,
Ilngei ,- ,- ,- ,- ,-,,,,,,,,
Wowonda ,- ,- ,- ,- ,-,,,,,,,,
Bomaki ,- ,- ,- ,- ,-,,,,,,,,
Lermatang ,- ,- ,- ,- ,-,,,,,,,,
Latdalam ,- ,- ,- ,- ,-,,,,,,,,
Matakus ,- ,- ,- ,4,-,,,,,,,,
