"Tabel 3.2 Jumlah Penduduk dan Laju Pertumbuhan Penduduk di Kecamatan Tanimbar Selatan, , 2010, dan 2012",,,,,
,,,,,
Desa,Jumlah Penduduk (orang) 2010,Jumlah Penduduk (orang) 2012,Laju Pertumbuhan Penduduk Per Tahun (%) 2010 ­ 2012,,
Saumlaki,"12,736","13,044",1.12,,
Olilit,"5,664","5,994",2.87,,
Sifnana,"2,868","3,000",2.27,,
Lauran,"2,162","2,245",1.9,,
Kabyarat,"1,632","1,706",2.33,,
Ilngei,"1,624","1,703",2.4,,
Wowonda,"1,761","1,831",1.96,,
Bomaki,- ,-,,,
Lermatang,"1,069","1,116",2.17,,
Latdalam,"2,317","2,428",2.36,,
Matakus,- ,-,,,
