"Tabel 4.1.1 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Taman Kanak-Kanak Menurut Desa di Kecamatan Tanimbar Selatan, 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki-laki ,Murid  Peremp uan ,Murid  Jumlah ,Guru  Laki- laki ,Guru  Peremp uan,Guru  Jumlah,Rasio Murid Guru
Saumlaki ,12,12,12,12,- ,- ,611,- ,- ,22,27.77
Olilit ,1,1,1,1,- ,- ,27,- ,- ,4,6.75
Sifnana ,2,2,2,2,- ,- ,33,- ,- ,3,11.00
Lauran ,1,1,1,1,- ,- ,35,- ,- ,6,5.83
Kabyarat ,1,1,1,1,- ,- ,27,- ,- ,5,5.40
Ilngei ,1,1,1,1,- ,- ,48,- ,- ,1,48.00
Wowonda ,1,1,1,1,- ,- ,36,- ,- ,3,12.00
Bomaki ,1,1,1,1,- ,- ,25,- ,- ,6,4.17
Lermatang ,1,1,1,1,- ,- ,48,- ,- ,4,12.00
Latdalam ,1,1,1,1,- ,- ,97,- ,- ,9,10.78
Matakus ,1,1,1,1,- ,- ,20,- ,- ,1,20.00
2012,23,23,23,23,- ,- ,"1,007",- ,- ,64,15.73
