"Tabel 4.1.11 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Menegah Atas Negeri Menurut Desa di Kecamatan Tanimbar Selatan, 2008 ­ 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki- laki ,Murid  Perem puan ,Murid  Jumlah ,Guru  Laki- laki ,Guru  Perem puan,Guru  Jumlah,Rasio Murid Guru
Kelurahan Saumlaki ,2,2,24,24,115,166,281,22,54,76,3.7
Olilit ,0,0,0,0,0,0,0,0,0,0,0
Sifnana ,0,0,0,0,0,0,0,0,0,0,0
Lauran ,0,0,0,0,0,0,0,0,0,0,0
Kabyarat ,0,0,0,0,0,0,0,0,0,0,0
Ilngei ,0,0,0,0,0,0,0,0,0,0,0
Wowonda ,0,0,0,0,0,0,0,0,0,0,0
Bomaki ,0,0,0,0,0,0,0,0,0,0,0
Lermatang ,0,0,0,0,0,0,0,0,0,0,0
Latdalam ,1,1,9,9,48,56,104,4,5,9,11.56
Matakus ,0,0,0,0,0,0,0,0,0,0,0
2012,3,3,33,33,163,222,385,26,59,85,4.53
2011,3,3,39,43,526,535,1061,31,65,96,11.05
2010,2,2,15,39,-,-,872,- ,- ,199,4.38
2009,10,10,100,100,-,-,"2,406",- ,- ,242,9.94
2008,1,1,11,11,-,-,821,- ,- ,55,14.93
