"Tabel 4.1.13 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Menegah Kejuruan Menurut Desa di Kecamatan Tanimbar Selatan, 2010 ­ 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung  Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki- laki ,Murid  Perem puan ,Murid  Jumlah ,Guru  Laki- laki ,Guru  Perem puan,Guru  Jumlah,Rasio Murid Guru
Kelurahan Saumlaki ,3,3,49,49,447,384,831,55,71,126,6.6
Olilit ,0,0,0,0,0,0,0,0,0,0,0
Sifnana ,0,0,0,0,0,0,0,0,0,0,0
Lauran ,0,0,0,0,0,0,0,0,0,0,0
Kabyarat ,0,0,0,0,0,0,0,0,0,0,0
Ilngei ,0,0,0,0,0,0,0,0,0,0,0
Wowonda ,0,0,0,0,0,0,0,0,0,0,0
Bomaki ,0,0,0,0,0,0,0,0,0,0,0
Lermatang ,0,0,0,0,0,0,0,0,0,0,0
Latdalam ,0,0,0,0,0,0,0,0,0,0,0
Matakus ,0,0,0,0,0,0,0,0,0,0,0
2012,3,3,49,49,447,384,831,55,71,126,6.60
2011,4,4,24,33,497,295,792,59,69,128,6.19
2010,4,4,48,12,-,-,967,,-,144,6.72
,,,,,,,,,,,
