"Tabel 4.1.14 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Menegah Kejuruan Negeri Menurut Desa di Kecamatan Tanimbar Selatan, 2010 ­ 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung  Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki- laki ,Murid  Perem puan ,Murid  Jumlah ,Guru  Laki- laki ,Guru  Perem puan,Guru  Jumlah,Rasio Murid Guru
Kelurahan Saumlaki ,3,3,49,49,437,313,750,53,62,115,6.52
Olilit ,0,0,0,0,0,0,0,0,0,0,0
Sifnana ,0,0,0,0,0,0,0,0,0,0,0
Lauran ,0,0,0,0,0,0,0,0,0,0,0
Kabyarat ,0,0,0,0,0,0,0,0,0,0,0
Ilngei ,0,0,0,0,0,0,0,0,0,0,0
Wowonda ,0,0,0,0,0,0,0,0,0,0,0
Bomaki ,0,0,0,0,0,0,0,0,0,0,0
Lermatang ,0,0,0,0,0,0,0,0,0,0,0
Latdalam ,1,1,9,9,48,56,104,5,5,10,10.4
Matakus ,0,0,0,0,0,0,0,0,0,0,0
2012,4,4,58,58,485,369,854,58,67,125,6.83
2011,3,3,39,43,526,535,1061,31,65,96,11.05
2010,3,3,39,9,- ,- ,892,- ,- ,126,7.08
