"Tabel 4.1.15 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Menegah Kejuruan Swasta Menurut Desa di Kecamatan Tanimbar Selatan, 2010 ­ 2011",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki- laki ,Murid  Perem puan ,Murid  Jumlah ,Guru  Laki- laki ,Guru  Perem puan,Guru  Jumlah,Rasio Murid Guru
Kelurahan Saumlaki ,1,1,12,12,10,71,81,2,9,11,7.36
Olilit ,0,0,0,0,0,0,0,0,0,0,0
Sifnana ,0,0,0,0,0,0,0,0,0,0,0
Lauran ,0,0,0,0,0,0,0,0,0,0,0
Kabyarat ,0,0,0,0,0,0,0,0,0,0,0
Ilngei ,0,0,0,0,0,0,0,0,0,0,0
Wowonda ,0,0,0,0,0,0,0,0,0,0,0
Bomaki ,0,0,0,0,0,0,0,0,0,0,0
Lermatang ,0,0,0,0,0,0,0,0,0,0,0
Latdalam ,0,0,0,0,0,0,0,0,0,0,0
Matakus ,0,0,0,0,0,0,0,0,0,0,0
2012,1,1,12,12,10,71,81,2,9,11,7.36
2011,2,2,15,18,289,378,667,19,36,55,12.13
2010,1,1,9,3,- ,- ,75,- ,- ,18,4.17
