"Tabel 4.1.4 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Dasar Menurut Desa di Kecamatan Tanimbar Selatan, 2008 ­ 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,GedungSekolah ,Sekolah ,Ruang Kelas,Kelas,Murid Laki-laki ,Murid Perempua n ,Murid Jumlah ,Guru Laki- laki,Guru Pere mpuan,Guru Jumlah,Rasio Murid Guru
Saumlaki ,7,7,63,81,556,516,"1,072",23,114,137,7.82
Olilit ,2,2,12,15,230,193,423,9,21,30,14.10
Sifnana ,2,2,6,8,105,117,222,7,30,37,6.00
Lauran ,2,2,12,13,171,159,330,5,16,21,15.71
Kabyarat ,1,1,8,6,45,55,100,1,9,10,10.00
Ilngei ,1,1,9,9,115,142,257,4,10,14,18.36
Wowonda ,2,2,13,12,156,146,302,6,17,23,13.13
Bomaki ,1,1,5,6,90,81,171,2,7,9,19.00
Lermatang ,1,1,6,7,111,109,220,4,4,8,27.50
Latdalam ,3,3,19,18,266,217,483,6,15,21,23.00
Matakus ,1,1,5,6,59,62,121,4,7,11,11.00
2012,23,23,158,181,"1,904","1,797","3,701",71,250,321,11.53
2011,23,23,146,162,"2,401","2,438","4,839",77,233,310,15.61
2010,23,23,183,183,- ,- ,"4,736",-,- ,346,13.69
2009,23,23,160,160,- ,- ,"4,354",-,- ,346,13.10
2008,24,24,162,162,- ,- ,"4,290",-,- ,294,14.59
