"Tabel 4.2.9 Banyaknya Penyandang Cacat Menurut Jenis Kecacatan di Kecamatan Tanimbar Selatan, 2012",,,,,,,,,,,
,,,,,,,,,,,
Jenis Kecacatan ,Jumlah Penyandang Cacat,,,,,,,,,,
Tuna Daksa/cacat Tubuh ,179,,,,,,,,,,
Tuna Netra ,19,,,,,,,,,,
Tuna Rungu ,3,,,,,,,,,,
Tuna Wicara ,35,,,,,,,,,,
Tuna Rungu dan Wicara ,2,,,,,,,,,,
Tuna Netra Rungu dan Wicara ,0,,,,,,,,,,
Tuna Rungu Wicara dan Cacat Tubuh ,0,,,,,,,,,,
Tuna Rungu wicara Netra dan Cacat Tubah ,0,,,,,,,,,,
Cacat Fisik dan Mental ,63,,,,,,,,,,
,,,,,,,,,,,
