"Tabel 5.2.1 Luas Panen Tanaman Sayuran Menurut Desa di Kecamatan Tanimbar Selatan (ha), 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Bawang Merah ,Cabe ,Kacang Panjang,Kubis,Wortel ,Petsai,,,,,
Keluarahan Saumlaki ,- ,- ,- ,-,- ,-,,,,,
Olilit ,- ,0.10,- ,-,- ,-,,,,,
Sifnana ,- ,0.05,- ,-,- ,-,,,,,
Lauran ,- ,0.20,0.30,0.30,- ,0.50,,,,,
Kabyarat ,- ,1.00,0.50,0.10,- ,1.00,,,,,
Ilngei ,0.50,1.30,1.00,1.00,0.30,1.00,,,,,
Wowonda ,0.10,1.00,1.70,1.00,0.50,0.50,,,,,
Bomaki ,- ,0.30,0.20,-,- ,0.30,,,,,
Lermatang ,- ,0.10,- ,-,- ,-,,,,,
Latdalam ,0.50,10.00,0.10,0.30,- ,0.10,,,,,
Matakus ,- ,0.10,- ,-,- ,-,,,,,
,,,,,,,,,,,
