"Tabel 5.2.2 Produksi Tanaman Sayuran Menurut Desa di Kecamatan Tanimbar Selatan (ton), 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Bawang Merah ,Cabe ,Kacang panjang,Kubis,Wortel ,Petsai,,,,,
Keluarahan Saumlaki ,- ,- ,- ,-,- ,-,,,,,
Olilit ,- ,0.30,- ,-,- ,-,,,,,
Sifnana ,- ,0.15,- ,-,- ,-,,,,,
Lauran ,- ,0.60,1.40,1.65,- ,1.25,,,,,
Kabyarat ,- ,3.00,2.30,0.55,- ,-,,,,,
Ilngei ,2.25,3.90,4.50,5.50,0.60,2.50,,,,,
Wowonda ,0.45,3.00,7.70,5.50,- ,1.25,,,,,
Bomaki ,- ,0.90,0.90,-,- ,0.75,,,,,
Lermatang ,- ,0.30,- ,-,- ,-,,,,,
Latdalam ,- ,0.30,0.45,1.65,- ,0.25,,,,,
Matakus ,- ,0.30,- ,-,- ,6.50,,,,,
