"Tabel 5.2.4 Produksi Buah Buahan Menurut Desa di Kecamatan Tanimbar Selatan (Ton), 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Mangga ,Durian ,Jeruk ,Pisang,Pepaya ,Nanas ,Sukun,,,,
Saumlaki ,18.00,- ,-,9.00,1.40,-,0.60,,,,
Olilit ,13.50,- ,-,12.00,2.10,-,6.00,,,,
Sifnana ,9.00,- ,30.20,12.00,0.70,-,6.00,,,,
Lauran ,4.50,- ,-,18.00,1.40,-,3.00,,,,
Kabyarat ,4.50,- ,-,15.00,2.10,-,3.00,,,,
Ilngei ,4.50,- ,-,21.00,2.10,-,3.00,,,,
Wowonda ,9.00,- ,-,18.00,0.70,0.10,6.00,,,,
Bomaki ,4.50,- ,-,6.00,1.40,-,12.00,,,,
Lermatang ,4.50,- ,-,18.00,3.50,-,12.00,,,,
Latdalam ,4.50,- ,15.10,18.00,2.10,0.50,6.00,,,,
Matakus ,4.50,- ,-,6.00,0.70,-,0.60,,,,
