"Tabel 5.4.3 Jumlah Ternak yang Dipotong Menurut Desa di Kecamatan Tanimbar Selatan (ekor*), 2011",,,,,,,,,,
,,,,,,,,,,
Desa ,Sapi Potong,Kerbau ,Kambing ,Domba ,Babi,,,,,
Saumlaki ,163,- ,- ,- ,143,,,,,
Olilit ,519,- ,- ,- ,299,,,,,
Sifnana ,272,- ,- ,- ,132,,,,,
Lauran ,113,- ,- ,- ,-,,,,,
Kabyarat ,176,- ,- ,- ,267,,,,,
Ilngei ,183,- ,- ,- ,163,,,,,
Wowonda ,183,- ,- ,- ,258,,,,,
Bomaki ,213,- ,- ,- ,184,,,,,
Lermatang ,99,- ,- ,- ,115,,,,,
Latdalam ,140,- ,- ,- ,103,,,,,
Matakus ,-,- ,- ,- ,41,,,,,
