"Tabel 5.5.2 Produksi dan Nilai Perikanan Tangkap Menurut Desa di Kecamatan Tanimbar Selatan, 2010 - 2012",,,,
,,,,
Jenis Ikan,Produksi (ton) 2011,Produksi (ton) 2012,Nilai (ribu rupiah) 2011,Nilai (ribu rupiah) 2012
Saumlaki ,323.88,346.7,"4,286,390.40","4,550,390.40"
Olilit ,175.44,187.7,"2,321,794.80","2,464,794.80"
Sifnana ,107.96,115.57,"1,428,796.80","1,516,796.80"
Lauran ,80.97,86.68,"1,071,597.60","1,137,579.60"
Kabyarat ,53.98,57.78,"714,398.40","758,398.40"
Ilngei ,94.47,101.12,"1,250,197.20","1,327,197.20"
Wowonda ,67.48,72.23,"892,998.00","947,998.00"
Bomaki ,40.49,43.34,"535,798.80","568,798.80"
Lermatang ,121.46,130.01,"1,607,396.40","1,706,396.40"
Latdalam ,148.45,158.91,"1,964,595.60","2,085,595.60"
Matakus ,134.95,144.46,"1,785,996.00","1,895,996.00"
