"Tabel 6.5 Harga Eceran Beberapa Jenis Barang di Kecamatan Tanimbar Selatan, 2012",,,,,,,,,,,,,
,,,,,,,,,,,,,
Jenis Barang,Satua n,Jan ,Peb ,Mar ,Apr ,Mei ,Jun,Jul ,Agu ,Sep ,Okt ,Nop ,Des
Beras ,Kg ,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.000,10.000,10.000,10.000,10.000,10.000
Daging Sapi,Kg ,70.0000,70.0000,70.0000,70.0000,70.0000,70.0000,70.000,70.000,70.000,70.000,70.000,70.000
Telur Ayam Ikan ,rak  Kg,45.0000,45.0000,45.0000,45.0000,45.0000,45.0000,45.000,45.000,45.000,45.000,45.000,45.000
Susu Kental,Kaleng ,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.000,10.000,10.000,10.000,10.000,10.000
Susu Bubuk,Doos ,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.000,30.000,30.000,30.000,30.000,30.000
Gula Pasir,Kg ,12.0000,12.0000,12.0000,12.0000,14.0000,14.0000,14.000,14.000,14.000,14.000,15.000,15.000
Minyak Goreng,2 liter ,70.0000,70.0000,70.0000,70.0000,75.0000,75.0000,75.000,75.000,75.000,75.000,75.000,75.000
Sabun Cuci,Batang ,3.0000,3.0000,2.5000,2.5000,2.5000,2.5000,2.500,2.501,3.000,3.000,3.000,3.000
 Minyak Tanah,botol ,3.7500,3.7500,3.7500,3.7500,3.7500,3.7500,3.750,3.751,3.750,3.750,3.750,3.750
,,,,,,,,,,,,,
