"Tabel 7.3.1 Akomodasi Penginapan di Kecamatan Tanimbar Selatan, 2012",,,,,,,,,,,,,
,,,,,,,,,,,,,
Nama Akomodasi ,Kelas ,Lokasi ,Jumla  h Kamar ,Jumlah Tempat Tidur,Tarif per Malam,,,,,,,,
Hotel Galaxi ,Bintang 1 ,Saumlaki ,39,57,390,,,,,,,,
Hotel Incla ,Bintang 1 ,Saumlaki ,24,31,900,,,,,,,,
Hotel Harapan Indah ,Melati ,Saumlaki ,26,38,750,,,,,,,,
Penginapan Pantai Indah,Melati ,Saumlaki ,23,46,200,,,,,,,,
Penginapan Ratulel ,Melati ,Saumlaki ,7,7,150,,,,,,,,
Penginapan Karisma ,Melati ,Saumlaki ,27,24,180,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
