"Tabel 7.3.2 Objek Wisata Menurut Lokasi di Kecamatan Tanimbar Selatan, 2012",,,,,,,,,,,,,
,,,,,,,,,,,,,
Lokasi ,Objek Wisata,,,,,,,,,,,,
Olilit ,Pantai Weluan,,,,,,,,,,,,
,Goa maria,,,,,,,,,,,,
,Kolam Ikan,,,,,,,,,,,,
,Pantai Asitubun,,,,,,,,,,,,
,Pantai Biontubun,,,,,,,,,,,,
,Bukit Kalvari,,,,,,,,,,,,
,Pulau Matakus,,,,,,,,,,,,
Sifnan ,Tugu,,,,,,,,,,,,
Lauran ,Pantai Nusmomolin,,,,,,,,,,,,
,Bangkai Kapal,,,,,,,,,,,,
,Meriam Tua,,,,,,,,,,,,
,Kerajunan Gerabah dan Anyaman,,,,,,,,,,,,
Kabiarat ,Goa Maria,,,,,,,,,,,,
,Goa Jepang,,,,,,,,,,,,
Wowonda ,Tanjung Nguswain,,,,,,,,,,,,
,Pantai Cinta Kasih,,,,,,,,,,,,
Lermatang ,Pulau/Taman Laut,,,,,,,,,,,,
,Pulau Nustabun,,,,,,,,,,,,
Latdalam ,Kampung Tua,,,,,,,,,,,,
