"Tabel 2.1. 
Nama-Nama Camat Tanimbar Utara Menurut Masa 
Jabatannya Di Kecamatan Tanimbar Utara",
,
Nama Camat ,Masa Jabatan
E. A. Jaflaun ,1945 - 1946
I. Berhitu ,1946 - 1947
P. Pieters ,1947 - 1947
A. A. Latuconsina ,1947 ­ 1948
A. R. Nukuhehe ,1948 ­ 1949
A. Putuhena ,1949 ­ 1951
G. Songjanan ,1951 ­ 1951
M. Marantika ,1951 ­ 1952
N. Futwembun ,1952 ­ 1952
A. M. Sangadji ,1952 ­ 1955
Ishak ,1955 ­ 1955
Surjatim ,1955 ­ 1955
J. B. Pelupessy ,1955 ­ 1956
M. A. Kabalmay ,1956 ­ 1957
A. Pelupessy ,1957 ­ 1958
A. Amasaman ,1958 ­ 1958
A. W. Sialana ,1958 ­ 1962
J. Ditilebit ,1962 ­ 1964
J. P. Siahaja ,1964 ­ 1967
"O. Hitipeuw, BA ",1967 ­ 1972
Drs. J. Manuputty ,1972 ­ 1972
"W. J. Dias, BA ",1972 ­ 1976
"F. Luhulima, BA ",1976 ­ 1978
"M. N. Taher, BA ",1978 ­ 1983
"J. J. Ohoiledjaan, BA ",1983 ­ 1984
Drs. La Arohama ,1984 ­ 1990
Drs. Dj. A. Bugis ,1990 ­ 1994
Drs. P. Sakliressy ,1994 ­ 2002
"M. K. Tharob, BA ",2002 ­ 2003
"C. Jempormase, BA ",2003 ­ 2005
"Drs. P. Oratmangun, M.Si ",2005 - 2007
Drs. A. H. Lokra ,2007 ­ 2009
Drs. J. J. Kelwulan ,2009 ­2011
"R. Sainuka, S.Sos ",2011­2013
Drs. I. J. F. Unmehopa ,2013
