"Tabel 1.2.3 Rata-rata Jumlah Hujan dan Curah Hujan Setiap Bulan di Kabupaten Maluku Tenggara Barat, 2012",,,,,,,,,,,,,
,,,,,,,,,,,,,
Bulan,Jumlah Hujan  (hari) ,Curah Hujan (mm),,,,,,,,,,,
Januari ,22,238.5,,,,,,,,,,,
Pebruari ,12,160.3,,,,,,,,,,,
Maret ,23,449.1,,,,,,,,,,,
April ,15,200.4,,,,,,,,,,,
Mei ,26,670.8,,,,,,,,,,,
Juni ,9,12.4,,,,,,,,,,,
Juli ,13,44.5,,,,,,,,,,,
Agustus ,3,5.3,,,,,,,,,,,
September ,2,5.6,,,,,,,,,,,
Oktober ,1,Tidak Terukur,,,,,,,,,,,
Nopember ,1,Tidak Terukur,,,,,,,,,,,
Desember ,7,14.4,,,,,,,,,,,
2012,134,1801.3,,,,,,,,,,,
