"Tabel 4.1.1 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Taman Kanak-Kanak Menurut Desa di Kecamatan Wermaktian, 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung  Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki- laki ,Murid  Perem puan ,Murid  Jumlah ,Guru Laki- laki ,Guru Perem puan,Guru Jumlah,Rasio Murid Guru
Batu Putih ,1,1,2,2,50,30,80,0,13,13,6
Wermatang ,0,0,0,0,0,0,0,0,0,0,0
Makatian ,2,2,3,3,91,28,119,0,11,11,11
Weratan ,1,1,1,1,17,20,37,0,4,4,9
Themin ,0,0,0,0,0,0,0,0,0,0,0
Welutu ,1,1,1,1,24,26,50,0,6,6,8
Rumah Salut ,0,0,0,0,0,0,0,0,0,0,0
Kamatubun ,1,1,1,1,13,17,30,0,3,3,10
Marantutul ,1,1,1,1,17,15,32,0,6,6,5
2012,7,7,9,9,212,136,348,0,43,43,6
