"Tabel 4.1.11 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Menegah Kejuruan Menurut Desa di Kecamatan Wermaktian, 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung  Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki- laki ,Murid  Perem puan,Murid  Jumlah,Guru Laki- laki ,Guru Perem puan,Guru Jumlah,Rasio Murid Guru
Batu Putih ,0,0,0,0,0,0,0,0,0,0,0
Wermatang ,0,0,0,0,0,0,0,0,0,0,0
Makatian ,0,0,0,0,0,0,0,0,0,0,0
Weratan ,1,1,9,5,51,33,84,12,5,17,5
Themin ,0,0,0,0,0,0,0,0,0,0,0
Welutu ,0,0,0,0,0,0,0,0,0,0,0
Rumah Salut ,0,0,0,0,0,0,0,0,0,0,0
Kamatubun ,0,0,0,0,0,0,0,0,0,0,0
Marantutul ,0,0,0,0,0,0,0,0,0,0,0
2012,1,1,9,5,51,33,84,12,5,17,5
