"Tabel 4.1.2 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Dasar Menurut Desa di Kecamatan Wermaktian, 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung  Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki- laki ,Murid  Perem puan,Murid  Jumlah,Guru Laki- laki ,Guru Perem puan,Guru Jumlah,Rasio Murid Guru
Batu Putih ,1,1,7,7,111,109,220,5,5,10,22
Wermatang ,1,1,6,6,75,68,143,5,2,7,20
Makatian ,2,2,13,13,164,177,341,6,7,13,26
Weratan ,1,1,13,13,179,174,353,2,5,7,50
Themin ,0,0,0,0,0,0,0,0,0,0,0
Welutu ,1,1,7,7,106,105,221,5,4,9,25
Rumah Salut ,2,2,12,12,187,196,383,3,10,13,29
Kamatubun ,4,4,23,23,276,269,545,10,13,23,24
Marantutul ,1,1,6,6,64,56,120,4,5,9,13
2012,13,13,87,87,1172,1154,2326,40,51,91,26
