"Tabel 4.1.4 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Dasar Swasta Menurut Desa di Kecamatan Wermaktian, 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung  Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki- laki ,Murid  Perem puan,Murid  Jumlah,Guru Laki- laki ,Guru Perem puan,Guru Jumlah,Rasio Murid Guru
Batu Putih ,1,1,7,7,111,109,220,5,5,10,22
Wermatang ,1,1,6,6,75,68,143,5,2,7,20
Makatian ,1,1,6,6,64,70,134,4,4,8,17
Weratan ,0,0,0,0,0,0,0,0,0,0,0
Themin ,0,0,0,0,0,0,0,0,0,0,0
Welutu ,1,1,7,7,0,0,0,0,0,0,0
Rumah Salut ,2,2,12,12,184,196,383,3,10,13,29
Kamatubun ,0,0,0,0,0,0,0,0,0,0,0
Marantutul ,1,1,6,6,64,56,120,4,5,9,13
2012,7,7,44,44,498,499,1000,21,26,47,21
