"Tabel 4.1.5 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Menegah Pertama Menurut Desa di Kecamatan Wermaktian, 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung  Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki- laki ,Murid  Perem puan,Murid  Jumlah,Guru Laki- laki ,Guru Perem puan,Guru Jumlah,Rasio Murid Guru
Batu Putih ,1,1,3,3,45,31,76,3,2,5,15
Wermatang ,0,0,0,0,0,0,0,0,0,0,0
Makatian ,1,1,4,4,66,74,140,4,4,8,18
Weratan ,0,0,0,0,0,0,0,0,0,0,0
Themin ,1,1,11,11,169,193,362,8,7,15,24
Welutu ,0,0,0,0,0,0,0,0,0,0,0
Rumah Salut ,0,0,0,0,0,0,0,0,0,0,0
Kamatubun ,2,2,5,5,42,56,98,12,14,26,4
Marantutul ,0,0,0,0,0,0,0,0,0,0,0
2012,5,5,23,23,322,354,676,27,27,54,13
