"Tabel 4.1.6 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Menegah Pertama Negeri Menurut Desa di Kecamatan Wermaktian, 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung  Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki- laki ,Murid  Perem puan,Murid  Jumlah,Guru Laki- laki ,Guru Perem puan,Guru Jumlah,Rasio Murid Guru
Batu Putih ,0,0,0,0,0,0,0,0,0,0,0
Wermatang ,0,0,0,0,0,0,0,0,0,0,0
Makatian ,1,1,4,4,66,74,140,4,4,8,18
Weratan ,0,0,0,0,0,0,0,0,0,0,0
Themin ,1,1,11,11,169,193,362,8,7,15,24
Welutu ,0,0,0,0,0,0,0,0,0,0,0
Rumah Salut ,0,0,0,0,0,0,0,0,0,0,0
Kamatubun ,1,1,2,2,12,11,23,3,5,8,3
Marantutul ,0,0,0,0,0,0,0,0,0,0,0
2012,3,3,17,17,247,278,525,15,16,31,17
