"Tabel 4.1.7 Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Menegah Pertama Swasta Menurut Desa di Kecamatan Wermaktian, 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung  Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki- laki ,Murid  Perem puan,Murid  Jumlah,Guru Laki- laki ,Guru Perem puan,Guru Jumlah,Rasio Murid Guru
Batu Putih ,1,1,3,3,45,31,76,3,2,5,15
Wermatang ,0,0,0,0,0,0,0,0,0,0,0
Makatian ,0,0,0,0,0,0,0,0,0,0,0
Weratan ,0,0,0,0,0,0,0,0,0,0,0
Themin ,0,0,0,0,0,0,0,0,0,0,0
Welutu ,0,0,0,0,0,0,0,0,0,0,0
Rumah Salut ,0,0,0,0,0,0,0,0,0,0,0
Kamatubun ,1,1,3,3,30,45,75,9,9,18,4
Marantutul ,0,0,0,0,0,0,0,0,0,0,0
2012,2,2,6,6,75,76,151,12,11,23,7
