"Tabel 4.2.1 Banyaknya Fasilitas Kesehatan Menurut Desa di Kecamatan Wermaktian, 2009 ­ 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Rumah Sakit ,RumahBersalin,Puskesmas,Posyandu,Klinik/Balai Kesehatan,Polindes,,,,,
Batu Putih ,0,0,0,2,0,0,,,,,
Wermatang ,0,0,0,1,0,0,,,,,
Makatian ,0,0,0,2,0,0,,,,,
Weratan ,0,0,1,2,0,0,,,,,
Themin ,0,0,0,1,0,0,,,,,
Welutu ,0,0,0,1,0,0,,,,,
Rumah Salut ,0,0,0,2,0,0,,,,,
Kamatubun ,0,0,0,3,0,0,,,,,
Marantutul ,0,0,0,1,0,0,,,,,
2012,0,0,1,15,0,0,,,,,
2011,0,0,1,15,0,0,,,,,
2010,0,0,1,15,0,0,,,,,
2009,0,0,1,15,0,1,,,,,
