"Tabel 4.2.2 Banyaknya Tenaga Kesehatan Menurut Desa di Kecamatan Wermaktian, 2009 ­ 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa,Tenaga Medis Dokter ,Tenaga Medis Perawat ,Tenaga Medis Bidan ,Tenaga Medis Farmasi,,,,,,,
Batu Putih ,0,0,1,0,,,,,,,
Wermatang ,0,0,0,0,,,,,,,
Makatian ,0,0,1,0,,,,,,,
Weratan ,4,4,1,0,,,,,,,
Themin ,0,1,0,0,,,,,,,
Welutu ,0,1,0,0,,,,,,,
Rumah Salut ,0,2,0,0,,,,,,,
Kamatubun ,0,2,0,0,,,,,,,
Marantutul ,0,1,0,0,,,,,,,
2012,4,11,3,0,,,,,,,
2011,4,10,4,1,,,,,,,
2010,1,11,2,1,,,,,,,
2009,3,11,2,0,,,,,,,
