"Tabel 4.2.4 Banyaknya Dokter Spesialis, Dokter Umum, dan Dokter Gigi Menurut Sarana Pelayanan Kesehatan dan Unit Kerja di Kecamatan Wermaktian, 2009 ­ 2012",,,,,,,,,,,
,,,,,,,,,,,
Unit Kerja/Sarana ,Dokter Spesialis ,Dokter Umum,Dokter Gigi,,,,,,,,
Puskesmas ,0,3,1,,,,,,,,
Rumah Sakit ,0,0,0,,,,,,,,
Institusi Diknakes/Diklat ,0,0,0,,,,,,,,
Sarana Kesehatan Lain ,0,0,0,,,,,,,,
Dinkes ,0,0,0,,,,,,,,
2012,0,3,1,,,,,,,,
2011,0,3,1,,,,,,,,
2010,0,1,0,,,,,,,,
2009,0,2,0,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
