"Tabel 4.3.1 Banyaknya Tempat Peribadatan Menurut Desa di Kecamatan Wermaktian, 2009 ­ 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Mesjid ,Mushola ,Gereja Protestan ,Gereja Katolik,Pura ,Vihara,,,,,
Batu Putih ,0,0,2,0,0,0,,,,,
Wermatang ,0,0,1,0,0,0,,,,,
Makatian ,0,0,1,0,0,0,,,,,
Weratan ,0,0,0,0,0,0,,,,,
Themin ,0,0,0,0,0,0,,,,,
Welutu ,0,0,0,0,0,0,,,,,
Rumah Salut ,0,0,1,1,0,0,,,,,
Kamatubun ,0,0,0,0,0,0,,,,,
2012,0,0,5,1,0,0,,,,,
2011,0,0,5,1,0,0,,,,,
2010,0,0,7,1,0,0,,,,,
2009,0,0,7,1,0,0,,,,,
