"Tabel 4.14. Banyaknya Gedung Sekolah Menengah Tingkat AtasSwasta, Murid, Guru Dan Rasio Murid - Guru Menurut Desadi Kecamatan Wuarlabobar 2009/2010 - 2011/2012",,,,,,,,
,,,,,,,,
Desa ,Sekolah,Murid  L ,Murid  P ,Murid  Jumlah ,Guru  L ,Guru  P ,Guru  Jumlah ,Rasio Murid- Guru
Kilon,0,0,0,0,0,0,0,0
Abat,0,0,0,0,0,0,0,0
Labobar,0,0,0,0,0,0,0,0
Wunlah,0,0,0,0,0,0,0,0
Karatat,0,0,0,0,0,0,0,0
Awear Rumngeur,0,0,0,0,0,0,0,0
Watmasa**),0,0,0,0,0,0,0,0
Lingada,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0
