"Tabel 4.2. Banyaknya Sekolah Dasar Negeri, Murid, Guru Dan Rasio Murid - Guru Menurut Desa di Kecamatan Wuarlabobar 2009/2010 - 2011/2012",,,,,,,,
,,,,,,,,
Desa ,Sekolah,Murid  L ,Murid  P ,Murid  Jumlah ,Guru  L ,Guru  P ,Guru  Jumlah ,Rasio Murid- Guru
Kilon ,1,102,62,170,6,1,7,2428
Abat ,0,0,0,0,0,0,0,0
Labobar ,1,82,68,150,5,3,8,1875
Wunlah ,0,0,0,0,0,0,0,0
Karatat ,1,45,41,86,1,4,5,172
Awear Rumngeur ,0,0,0,0,0,0,0,0
Watmasa**) ,0,0,0,0,0,0,0,0
Lingada ,0,0,0,0,0,0,0,0
2011,3,229,171,406,12,8,20,2030
2010,4,-,-,557,- ,-,26,2142
2009,4,-,-,508,- ,-,26,1953
