"Tabel 4.4. Banyaknya Sekolah Dasar Swasta, Murid, Guru Dan Rasio Murid - Guru Menurut Desa di Kecamatan Wuarlabobar 2009/2010 - 2011/2012",,,,,,,,
,,,,,,,,
Desa ,Sekolah,Murid  L ,Murid  P ,Murid  Jumlah ,Guru  L ,Guru  P ,Guru  Jumlah ,Rasio Murid- Guru
Kilon,0,0,0,0,0,0,0,"0,0"
Abat,1,84,73,157,4,6,10,"15,7"
Labobar,0,0,0,0,0,0,0,"0,0"
Wunlah,1,52,60,112,3,5,8,"14,0"
Karatat,0,0,0,0,0,0,0,"0,0"
Awear Rumngeur,1,44,47,91,2,12,14,"6,5"
Watmasa**),0,0,0,0,0,0,0,"0,0"
Lingada,1,60,54,114,5,9,14,"8,14"
2011,4,240,234,474,14,32,46,"10,30"
2010,13,-,-,1425,-,-,107,"13,31"
2009,13,-,-,1472,-,-,107,"13,75"
