"Tabel 4.7. Banyaknya Gedung Sekolah Menengah Tingkat Pertama Negeri, Murid, Guru Dan Rasio Murid - Guru Menurut Desa di Kecamatan Wuarlabobar  2009/2010 - 2011/2012",,,,,,,,
,,,,,,,,
Desa ,Sekolah,Murid  L ,Murid  P ,Murid  Jumlah ,Guru  L ,Guru  P ,Guru  Jumlah ,Rasio Murid- Guru
Kilon,0,0,0,0,0,0,0,0
Abat,1,26,34,60,2,10,12,5
Labobar,0,0,0,0,0,0,0,0
Wunlah,0,0,0,0,0,0,0,0
Karatat,0,0,0,0,0,0,0,0
Awear Rumngeur,0,0,0,0,0,0,0,0
Watmasa**),1,42,16,58,2,1,3,19.3
Lingada,1,37,35,72,5,2,7,10.28
2011,3,105,85,190,9,13,22,8.63
2010,7,-,-,428,-,-,40,10.7
2009,7,-,-,570,-,-,34,16.76
