"Tabel 4.9. Banyaknya Gedung Sekolah Menengah Tingkat Pertama Swasta, Murid, Guru Dan Rasio Murid - Guru Menurut Desa di Kecamatan Wuarlabobar 2009/2010 - 2011/2012",,,,,,,,
,,,,,,,,
Desa ,Sekolah,Murid  L ,Murid  P ,Murid  Jumlah ,Guru  L ,Guru  P ,Guru  Jumlah ,Rasio Murid- Guru
Kilon,0,0,0,0,0,0,0,0
Abat,0,0,0,0,0,0,0,0
Labobar,0,0,0,0,0,0,0,0
Wunlah,1,68,73,141,7,1,8,17.62
Karatat,0,0,0,0,0,0,0,0
Awear Rumngeur,0,0,0,0,0,0,0,0
Watmasa**),0,0,0,0,0,0,0,0
Lingada,0,0,0,0,0,0,0,0
2011,1,68,73,141,7,1,8,17.62
2010,2,-,-,148,-,-,10,14.8
2009,1,-,-,142,-,-,7,20.28
