AFGHANISTAN,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,POPULATION ,,,,,,,,,,,,,,,,,,,
,Total populationa   as of 10 June (million),19.5,19.9,20.3,20.7,21.7,22.1,22.6,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.6,27.1,27.7,28.2,30.1
,Population density   (persons/km2),30,30,31,32,33,34,35,35,36,37,38,38,39,40,41,42,42,43,46
,Population   (% annual change),5.0,1.9,1.9,1.9,4.8,1.9,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,6.6
,Urban populationb   (% of total population),21.3,21.6,22.0,22.4,21.5,21.5,21.5,22.4,22.7,23.0,23.2,23.5,23.8,24.1,24.4,24.7,25.0,25.3,25.0
,,,,,,,,,,,,,,,,,,,,
,LABOR FORCEc   beginning 21 March ('000),...,"7,560","7,707","7,857","8,231",...,...,...,...,...,...,"7,194",...,"8,516",...,...,"8,547",...,...
,Employed,...,"7,305","7,447","7,592","7,954",...,...,...,...,...,...,"5,396",...,"5,198",...,...,"5,613",...,...
,"     Agriculture, forestry, and fishing",...,"5,083","5,181","5,282","5,534",...,...,...,...,...,...,...,...,...,...,...,"2,215",...,...
,     Mining and quarrying,...,,,,,,,,,,,,,,,,14,...,...
,     Manufacturing,...,,,,,,,,,,,,,,,,352,...,...
,"     Electricity, gas, steam, and air-conditioning supply; water supply;
          sewerage, waste management, and remediation activities",...,452,461,470,492,...,...,...,...,...,...,...,...,...,...,...,11,...,...
,     Construction,...,,,,,,,,,,,,,,,,454,...,...
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,...,"1,105","1,126","1,148","1,203",...,...,...,...,...,...,...,...,...,...,...,486,...,...
,     Accommodation and food service activities,...,,,,,,,,,,,,,,,,,,
,     Transportation and storage,...,,,,,,,,,,,,,,,,324,...,...
,     Information and communication,...,,,,,,,,,,,,,,,,,,
,     Financial and insurance activities,...,,,,,,,,,,,,,,,,58,...,...
,     Real estate activities,...,,,,,,,,,,,,,,,,,,
,     Othersd,...,666,679,692,725,...,...,...,...,...,...,...,...,...,...,...,"1,699",...,...
,Underemployede,...,...,...,...,...,...,...,...,...,...,...,"1,206",...,"1,395",...,...,"1,272",...,...
,Unemployedf,...,255,260,265,277,...,...,...,...,...,...,592,...,"1,922",...,...,"1,662",...,...
,Unemployment rate   (%),...,3.4,3.4,3.4,3.4,...,...,...,...,...,...,8.2,...,22.6,...,...,19.4,...,...
,Labor force   (% annual change),...,...,1.9,1.9,4.8,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Labor force participation rate   (%),...,...,...,...,...,...,...,...,...,...,...,49.8,...,55.4,...,...,53.9,...,...
,     Male,...,...,...,...,...,...,...,...,...,...,...,80.0,...,81.0,...,...,80.5,...,...
,     Female,...,...,...,...,...,...,...,...,...,...,...,18.5,...,29.0,...,...,26.7,...,...
,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTS   beginning 21 March | ending 20 December (AF million),,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,...,...,"202,531","240,671","267,310","327,745","375,152","518,614","541,113","632,794","746,859","896,162","1,086,160","1,196,688","1,221,086","1,260,009","1,373,027","1,462,540 |","1,478,707"
,"     Agriculture, forestry, and fishing",...,...,"87,425","98,805","88,955","112,194","122,511","174,343","150,133","196,844","207,300","241,743","275,818","295,270","294,038","274,103","316,510","346,269 |","302,450"
,     Mining and quarrying,...,...,264,290,638,880,"1,224","2,213","2,481","2,921","4,473","10,395","10,066","9,325","8,756","8,609","10,254","13,441 |","15,630"
,     Manufacturing,...,...,"34,288","37,462","43,848","51,150","57,030","86,149","91,880","80,437","90,943","117,171","130,850","130,985","135,888","140,434","151,339","153,008 |","157,263"
,"     Electricity, gas, steam, and air-conditioning supply",...,...,121,280,312,461,562,630,527,630,640,605,654,768,789,937,"1,089","1,246 |","1,150"
,"     Water supply; sewerage, waste management, and remediation activities",...,...,,,,,,,,,,,,,,,,,
,     Construction,...,...,"8,700","12,240","20,714","30,135","39,371","41,500","43,741","49,954","57,552","65,199","81,255","93,868","107,470","124,280","126,779","139,834 |","173,006"
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,...,...,"19,104","21,207","22,710","26,276","28,881","40,744","43,486","44,701","52,373","61,512","83,141","86,541","83,602","89,288","86,614","100,091 |","99,157"
,     Accommodation and food service activities,...,...,"1,246","1,474","1,998","2,510","3,128","4,106","4,611","5,188","7,305","10,128","12,154","14,585","15,814","17,875","19,849","20,277 |","20,714"
,     Transportation and storage,...,...,"19,515","30,132","36,289","35,770","41,154","63,575","76,893","95,086","113,163","136,221","197,726","241,354","225,597","232,286","248,687","264,548 |","277,263"
,     Information and communication,...,...,759,900,"1,154","2,118","6,313","8,351","14,588","21,278","32,750","38,197","44,854","52,343","62,517","76,096","82,919","86,279 |","85,843"
,     Financial and insurance activities,...,...,"1,260","2,368","3,326","4,414","5,637","7,183","9,146","12,417","16,159","9,609","10,519","9,865","20,831","21,118","27,052","14,342 |","14,167"
,     Real estate activities,...,...,28,31,38,46,51,66,76,87,100,110,121,118,112,109,113,115 |,116
,"     Professional, scientific, and technical activities",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Administrative and support service activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Public administration and defense; compulsory social securityg,...,...,"10,000","11,257","14,487","25,469","29,674","46,920","57,137","58,449","84,473","111,704","132,607","146,018","156,589","158,790","171,039","180,711 |","189,955"
,     Education,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Human health and social work activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,"     Arts, entertainment, and recreation",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Other service activitiesh,...,...,"17,249","18,856","25,493","26,877","28,053","29,640","32,084","43,019","52,326","61,090","65,000","68,358","67,173","65,593","72,456","76,642 |","74,381"
,"     Activities of households as employers; undifferentiated goods- 
          and services-producing activities of households for own use",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Gross value added at basic prices,...,...,"199,961","235,302","259,963","318,299","363,589","505,420","526,783","611,012","719,559","863,685","1,044,765","1,149,398","1,179,175","1,209,520","1,314,698","1,396,803 |","1,411,095"
,Taxes less subsidies on production and imports,...,...,"2,570","5,369","7,347","9,446","11,563","13,194","14,330","21,782","27,300","32,477","41,395","47,290","41,911","50,489","58,329","65,737 |","67,612"
,Net factor income from abroad,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,GNI,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,               Structure of Output   (% of GDP at current basic prices),,,,,,,,,,,,,,,,,,,
,               Agriculture,...,...,43.7,42.0,34.2,35.2,33.7,34.5,28.5,32.2,28.8,28.0,26.4,25.7,24.9,22.7,24.1,24.8,21.4
,               Industry,...,...,21.7,21.4,25.2,26.0,27.0,25.8,26.3,21.9,21.3,22.4,21.3,20.4,21.4,22.7,22.0,22.0,24.6
,               Services,...,...,34.6,36.6,40.6,38.8,39.3,39.7,45.2,45.9,49.8,49.6,52.3,53.9,53.6,54.7,53.9,53.2,54.0
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at current market prices,...,...,"202,531","240,671","267,310","327,745","375,152","518,614","541,113","632,794","746,859","896,162","1,086,160","1,196,688","1,221,086","1,260,009","1,373,027","1,462,540 |","1,478,707"
,     Final consumption expenditure,...,...,"240,678","326,545","348,841","412,212","450,990","619,938","667,125","695,157","831,843","929,130","1,044,521","1,103,761","1,124,116","1,196,481","1,260,448","1,286,336 |","1,349,325"
,          Household final consumption,...,...,"225,164","304,573","322,140","379,330","410,644","566,338","612,492","623,357","727,204","819,246","913,345","964,267","974,051","1,044,215","1,095,934","1,112,149 |","1,165,894"
,          NPISHs final consumption,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Government final consumption,...,...,"15,514","21,972","26,701","32,882","40,346","53,600","54,633","71,800","104,639","109,884","131,176","139,494","150,065","152,266","164,515","174,187 |","183,431"
,     Gross capital formation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Gross fixed capital formation,...,...,"22,875","28,243","47,474","71,475","91,913","97,418","97,969","110,052","130,424","141,792","178,414","200,176","214,397","239,843","236,143","265,637 |","325,528"
,               Public,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,               Private,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Changes in inventoriesi,...,...,...,...,...,...,...,...,"-66,849","-3,319","39,471","151,385","345,099","397,495","348,178","354,121","406,376","535,993 |","316,982"
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Exports of goods and services,...,...,"60,068","97,871","82,525","85,319","93,257","87,408","93,417","90,464","73,164","52,298","58,664","73,277","77,993","86,853","93,265","110,946 |","120,217"
,          Exports of goods,...,...,"57,793","92,706","78,123","79,341","85,940","79,324","84,223","80,513","62,712","41,334","46,744","60,183","64,628","71,846","77,382","94,804 |","103,179"
,          Exports of services,...,...,"2,275","5,164","4,402","5,978","7,317","8,084","9,194","9,950","10,452","10,964","11,919","13,093","13,365","15,007","15,883","16,142 |","17,038"
,     Less: Imports of goods and services,...,...,"121,090","211,988","211,529","241,260","261,007","286,151","250,549","259,560","328,043","378,442","540,537","578,020","543,598","617,289","623,204","736,372 |","633,345"
,          Imports of goods,...,...,"112,317","185,320","184,257","209,414","231,546","259,034","221,443","230,698","297,292","340,879","493,864","520,527","484,912","537,728","532,015","643,695 |","535,526"
,          Imports of services,...,...,"8,772","26,668","27,272","31,846","29,462","27,116","29,107","28,863","30,751","37,564","46,674","57,494","58,686","79,561","91,189","92,677 |","97,819"
,     Statistical discrepancy,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,               Structure of Demand   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Household final consumption,...,...,111.2,126.6,120.5,115.7,109.5,109.2,113.2,98.5,97.4,91.4,84.1,80.6,79.8,82.9,79.8,76.0,78.8
