AZERBAIJAN,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,POPULATIONa,,,,,,,,,,,,,,,,,,,
,Total population   as of 1 July (million),8.1,8.2,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9.1,9.2,9.3,9.4,9.5,9.6,9.8,9.9,9.9
,Population density   (persons/km2),93,94,95,96,97,98,99,101,102,103,105,106,107,109,110,111,113,114,115
,Population   (% annual change),1.0,1.0,0.9,1.0,1.1,1.2,1.3,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.3,1.2,1.1,1.0,0.9
,Urban population   (% of total population),51.1,51.2,51.2,51.7,52.3,52.5,52.7,52.8,53.1,53.1,53.0,53.0,53.0,53.2,53.2,53.1,53.0,53.0,52.9
,,,,,,,,,,,,,,,,,,,,
,LABOR FORCEb   calendar year ('000),"4,370","4,368","4,370","4,374","4,366","4,380","4,402","4,443","4,478","4,532","4,587","4,626","4,688","4,758","4,841","4,915","5,013","5,074","5,133"
,Employed,"3,856","3,891","3,931","3,973","4,017","4,062","4,111","4,162","4,216","4,272","4,329","4,375","4,445","4,521","4,603","4,672","4,760","4,822","4,879"
,"     Agriculture, forestry, and fishing","1,509","1,522","1,530","1,546","1,552","1,574","1,583","1,598","1,611","1,629","1,655","1,657","1,674","1,677","1,692","1,698","1,730","1,753","1,771"
,     Mining and quarrying,41,39,39,42,42,42,44,44,44,43,42,41,42,42,42,39,38,38,40
,     Manufacturing,187,188,191,192,199,198,203,207,211,214,209,210,216,224,227,230,242,249,255
