BANGLADESH,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,POPULATION ,,,,,,,,,,,,,,,,,,,
,Total populationa  as of 1 July (million),129.3,131.1,132.9,134.8,136.7,138.6,140.6,142.6,144.7,146.7,148.6,150.6,152.7,154.7,156.8,158.9,160.8,162.7,164.6
,Population density   (persons/km2),876.0,881.0,901.0,913.0,926.0,939.0,953.0,966.0,980.0,993.0,"1,007.0","1,021.0","1,035.0","1,049.0","1,063.0","1,077.0","1,090.0","1,103.0","1,116.0"
,Populationa  (% annual change),1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.4,1.3,1.3,1.4,1.3,1.4,1.3,1.2,1.2,1.2
,Urban population   (% of total population),23.1,23.1,23.1,23.2,23.7,24.2,24.6,24.8,25.1,25.5,25.9,25.9,26.8,27.3,33.5,34.3,35.1,35.9,36.6
,,,,,,,,,,,,,,,,,,,,
,LABOR FORCE   fiscal year ending 30 June (million),40.7,...,...,46.3,...,...,49.5,...,...,...,56.7,...,...,60.7,...,...,62.1,63.5,…
,Employed,39.0,...,...,44.3,...,...,47.4,...,...,...,54.1,...,...,58.1,...,...,59.5,60.8,…
,"     Agriculture, forestry, and fishing",19.8,...,...,22.9,...,...,22.8,...,...,...,25.7,...,...,26.2,...,...,25.4,24.7,…
,     Mining and quarrying,0.2,...,...,0.1,...,...,0.1,...,...,...,0.1,...,...,0.2,...,...,0.1,0.1,…
,     Manufacturing,3.7,...,...,4.3,...,...,5.2,...,...,...,6.7,...,...,9.5,...,...,8.6,8.8,…
,"     Electricity, gas, steam, and air-conditioning supply; water supply; sewerage, 
          waste management, and remediation activities",0.1,...,...,0.1,...,...,0.1,...,...,...,0.1,...,...,0.2,...,...,0.2,0.1,…
,     Construction,1.1,...,...,1.5,...,...,1.5,...,...,...,2.6,...,...,2.1,...,...,3.3,3.4,…
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,6.1,...,...,6.7,...,...,7.8,...,...,...,8.4,...,...,7.5,...,...,8.0,8.7,…
,     Accommodation and food service activities,...,...,...,...,...,...,...,...,...,...,...,...,...,0.9,...,...,1.0,1.2,…
,     Transportation and storage,2.5,...,...,3.0,...,...,4.0,...,...,...,4.0,...,...,3.7,...,...,4.6,5.2,…
,     Information and communication,...,...,...,...,...,...,...,...,...,...,...,...,...,0.1,...,...,0.2,0.2,…
,     Financial and insurance activities,0.4,...,...,0.3,...,...,0.8,...,...,...,1.0,...,...,0.4,...,...,0.4,0.4,…
,     Real estate activities,...,...,...,...,...,...,...,...,...,...,...,...,...,0.7,...,...,0.1,0.1,…
,     Other services,5.1,...,...,5.2,...,...,5.2,...,...,...,5.7,...,...,6.3,...,...,7.7,7.9,…
,Unemployed ,1.8,...,...,2.0,...,...,2.1,...,...,...,2.6,...,...,2.6,...,...,2.6,2.7,…
,Unemployment rate   (%),4.4,...,...,4.3,...,...,4.2,...,...,...,4.6,...,...,4.3,...,...,4.2,4.2,…
,Labor force   (% annual change),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…
,Labor force participation rate   (%),54.9,...,...,57.3,...,...,58.5,...,...,...,59.3,...,...,57.1,...,...,58.5,58.2,…
,     Male,84.0,...,...,87.4,...,...,86.8,...,...,...,82.5,...,...,81.7,...,...,81.9,80.5,…
,     Female,23.9,...,...,26.1,...,...,29.2,...,...,...,36.0,...,...,33.5,...,...,35.6,36.3,…
,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTS   fiscal year ending 30 June (Tk billion) ,,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,"2,370.8","2,535.5","2,732.0","3,005.8","3,329.6","3,707.0","4,823.4","5,498.0","6,286.8","7,050.7","7,975.4","9,158.3","10,552.0","11,989.2","13,436.7","15,158.0","17,328.6","19,758.2","22,504.8"
,"     Agriculture, forestry, and fishing",583.7,590.4,599.0,630.6,672.0,716.2,869.8,979.0,"1,106.2","1,206.0","1,355.9","1,539.5","1,707.1","1,857.5","2,062.8","2,240.8","2,433.9","2,650.3","2,942.3"
,     Mining and quarrying,23.1,26.4,30.0,33.1,36.4,40.4,70.1,78.7,91.1,109.6,126.4,142.1,166.5,194.6,210.8,238.8,285.8,341.3,388.8
,     Manufacturing,348.4,382.3,418.0,458.1,515.3,588.0,738.3,876.1,"1,013.7","1,162.0","1,285.7","1,465.0","1,679.3","1,971.3","2,232.2","2,544.8","2,951.1","3,418.3","4,041.4"
,"     Electricity, gas, steam, and air-conditioning supplyb",30.7,33.5,36.4,39.9,44.2,49.1,55.5,57.2,64.4,70.1,83.5,109.8,134.9,156.2,175.1,188.5,227.3,249.5,279.2
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,6.0,7.0,7.7,8.9,10.2,11.0,12.9,14.1
,     Construction,176.2,193.3,211.6,230.2,254.0,290.6,298.2,335.1,385.3,441.8,494.7,570.7,683.0,824.3,908.3,"1,084.8","1,263.5","1,461.1","1,698.6"
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesc,292.0,324.8,353.1,391.0,441.0,502.8,623.5,729.7,861.5,960.9,"1,066.1","1,213.3","1,374.0","1,545.8","1,725.8","1,925.9","2,142.6","2,439.6","2,798.2"
,     Accommodation and food service activities ,,,,,,,,,,,,82.3,97.6,112.6,130.4,149.3,170.6,193.2,221.2
,     Transportation and storaged,197.4,221.3,255.2,311.1,344.4,382.9,465.0,531.3,596.2,671.8,804.5,810.2,968.5,"1,068.8","1,151.6","1,297.6","1,474.8","1,639.1","1,799.2"
,     Information and communication,,,,,,,,,,,,135.5,158.5,174.0,191.5,202.7,216.8,231.7,247.1
,     Financial and insurance activities,36.5,39.1,42.1,47.2,52.0,59.3,142.2,162.7,187.0,200.0,234.5,275.5,363.2,422.4,485.6,557.6,636.0,732.0,837.3
,     Real estate activities,,,,,,,,,,,,,,,,,,,
,"     Professional, scientific, and technical activities  ",,,,,,,,,,,,601.2,687.1,788.2,912.3,"1,060.6","1,237.4","1,445.4","1,664.2"
,     Administrative and support service activities,,,,,,,,,,,,,,,,,,,
,     Public administration and defense; compulsory social security,62.3,67.0,71.2,77.8,86.2,96.4,140.9,171.3,196.6,224.6,254.3,302.8,335.0,376.8,447.3,506.7,667.1,784.4,902.3
,     Education,,,,,,,,,,,,213.9,250.5,284.3,327.7,376.2,465.1,568.6,644.8
,     Human health and social work activities,,,,,,,,,,,,177.3,201.3,238.7,269.2,301.4,347.6,389.9,440.6
,"     Arts, entertainment, and recreation ",,,,,,,,,,,,,,,,,,,
,     Other service activitiese,537.2,571.9,618.6,679.7,749.0,830.2,"1,172.5","1,312.6","1,486.4","1,702.2","1,907.4","1,046.1","1,172.9","1,389.5","1,565.5","1,764.0","1,942.5","2,142.1","2,363.8"
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Gross value added at basic prices,"2,287.5","2,450.0","2,635.2","2,898.7","3,194.5","3,555.9","4,576.1","5,233.6","5,988.5","6,749.2","7,613.0","8,691.3","9,986.4","11,412.6","12,805.0","14,449.9","16,473.1","18,699.2","21,283.2"
,Taxes and duties on imports ,83.3,85.5,96.8,107.1,135.1,151.1,247.2,264.4,298.3,301.5,362.4,466.9,565.6,576.6,631.7,708.1,855.5,"1,058.9","1,221.6"
,Net factor income from abroad,87.1,88.4,125.4,165.8,175.5,189.3,272.1,352.8,483.9,559.0,646.0,725.1,893.0,964.3,895.5,984.0,998.1,849.0,"1,026.3"
,GNI ,"2,457.9","2,623.9","2,857.4","3,171.6","3,505.1","3,896.3","5,095.4","5,850.8","6,770.7","7,609.7","8,621.4","9,883.4","11,445.1","12,953.5","14,332.2","16,142.0","18,326.7","20,607.2","23,531.1"
,,,,,,,,,,,,,,,,,,,,
,               Structure of Output  (% of GDP at current basic prices),,,,,,,,,,,,,,,,,,,
,               Agriculture,25.5,24.1,22.7,21.8,21.0,20.1,19.0,18.7,18.5,17.9,17.8,17.7,17.1,16.3,16.1,15.5,14.8,14.2,13.8
,               Industry,25.3,25.9,26.4,26.3,26.6,27.2,25.4,25.7,26.0,26.4,26.1,26.4,26.7,27.6,27.6,28.2,28.8,29.3,30.2
,               Services,49.2,50.0,50.9,52.0,52.4,52.6,55.6,55.6,55.6,55.7,56.0,55.9,56.2,56.1,56.3,56.4,56.5,56.5,56.0
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at current market prices,"2,370.9","2,535.5","2,732.0","3,005.8","3,329.7","3,707.1","4,823.4","5,498.0","6,286.8","7,050.7","7,975.4","9,158.3","10,552.0","11,989.3","13,436.7","15,158.0","17,328.6","19,758.2","22,504.8"
,     Final consumption expenditure,"1,946.9","2,079.2","2,235.9","2,445.7","2,679.3","2,965.1","3,789.4","4,357.3","5,080.4","5,617.1","6,315.7","7,269.7","8,312.5","9,347.3","10,468.6","11,799.2","13,000.3","14,753.6","17,365.9"
,          Household final consumption,"1,838.5","1,964.9","2,099.3","2,285.0","2,495.2","2,759.8","3,527.0","4,062.6","4,754.9","5,258.0","5,910.9","6,802.8","7,780.7","8,733.9","9,751.4","10,980.1","11,979.2","13,568.9","15,935.3"
,          NPISHs final consumption ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          General government final consumption,108.4,114.3,136.6,160.7,184.1,205.3,262.4,294.7,325.5,359.1,404.8,466.8,531.8,613.4,717.2,819.2,"1,021.1","1,184.7","1,430.6"
,     Gross capital formationf,545.9,585.4,632.4,703.5,799.9,909.2,"1,261.0","1,439.3","1,647.3","1,847.7","2,093.3","2,511.3","2,982.3","3,403.7","3,840.0","4,378.7","5,138.4","6,028.3","7,029.4"
,          Gross fixed capital formationg,545.9,585.4,632.4,703.5,799.9,909.2,"1,261.0","1,439.3","1,647.3","1,847.7","2,093.3","2,511.3","2,982.3","3,403.7","3,840.0","4,378.7","5,138.4","6,028.3","7,029.4"
,               Public,...,...,...,...,...,...,...,...,...,...,...,...,608.0,796.2,879.9,"1,033.9","1,154.9","1,464.7","1,794.2"
,               Private,...,...,...,...,...,...,...,...,...,...,...,...,"2,374.2","2,607.5","2,960.0","3,344.7","3,983.5","4,563.6","5,235.2"
,          Changes in inventories,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Exports of goods and services,331.4,390.0,390.0,427.2,514.9,614.7,788.8,934.4,"1,110.2","1,194.4","1,278.0","1,824.5","2,127.5","2,342.4","2,551.6","2,627.9","2,885.2","2,970.9","3,330.9"
,          Exports of goods,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Exports of services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Less: Imports of goods and services,455.9,545.1,520.4,602.2,693.0,854.3,"1,049.5","1,261.6","1,569.3","1,632.4","1,736.9","2,518.4","2,949.2","3,208.1","3,429.7","3,751.5","3,691.8","4,004.6","5,276.0"
,          Imports of goods,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Imports of services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Statistical discrepancy ,2.5,26.0,-5.9,31.6,28.6,72.4,33.6,28.6,18.3,23.9,25.4,71.2,79.0,104.0,6.3,103.7,-3.5,10.0,54.7
,,,,,,,,,,,,,,,,,,,,
,               Structure of Demand   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Household final consumption,77.5,77.5,76.8,76.0,74.9,74.4,73.1,73.9,75.6,74.6,74.1,74.3,73.7,72.8,72.6,72.4,69.1,68.7,70.8
,               Government final consumption,4.6,4.5,5.0,5.3,5.5,5.5,5.4,5.4,5.2,5.1,5.1,5.1,5.0,5.1,5.3,5.4,5.9,6.0,6.4
,               Gross fixed capital formation,23.0,23.1,23.1,23.4,24.0,24.5,26.1,26.2,26.2,26.2,26.2,27.4,28.3,28.4,28.6,28.9,29.7,30.5,31.2
,                    Changes in inventories,,,,,,,,,,,,,,,,,,,
,               Exports of goods and services,14.0,15.4,14.3,14.2,15.5,16.6,16.4,17.0,17.7,16.9,16.0,19.9,20.2,19.5,19.0,17.3,16.7,15.0,14.8
,               Imports of goods and services,19.2,21.5,19.0,20.0,20.8,23.0,21.8,22.9,25.0,23.2,21.8,27.5,28.0,26.8,25.5,24.8,21.3,20.3,23.4
,               Statistical discrepancy,0.1,1.0,-0.2,1.1,0.9,2.0,0.7,0.5,0.3,0.3,0.3,0.8,0.7,0.9,0.0,0.7,-0.0,0.0,0.2
,,,,,,,,,,,,,,,,,,,,
,At Constant Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at 1995/1996 | 2005/2006 market prices,"2,049.3","2,157.4","2,252.6","2,371.1","2,519.7","2,669.7 |","4,823.4","5,163.8","5,474.4","5,750.6","6,071.0","6,463.4","6,884.9","7,299.0","7,741.4","8,248.6","8,835.4","9,479.0","10,224.4"
,"     Agriculture, forestry, and fishing",504.3,520.1,520.1,536.1,558.1,570.4 |,869.8,928.1,969.8,"1,003.4","1,065.1","1,112.6","1,146.1","1,174.4","1,225.7","1,266.5","1,301.8","1,340.5","1,396.6"
,     Mining and quarrying,20.3,22.3,23.3,24.9,26.8,29.1 |,70.1,74.3,80.0,88.4,95.6,99.1,105.9,115.8,121.3,132.9,150.0,163.3,174.7
,     Manufacturing,303.7,324.0,341.7,364.8,390.7,422.7 |,738.3,816.1,876.0,934.6,996.7,"1,096.5","1,205.7","1,329.9","1,446.5","1,595.7","1,782.2","1,977.7","2,242.7"
