"HONG KONG, CHINA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
,POPULATIONa,,,,,,,,,,,,,,,,,,,,
,Total population   as of 1 July (million),6.7,6.7,6.7,6.7,6.8,6.8,6.9,6.9,7.0,7.0,7.0,7.1,7.2,7.2,7.2,7.3,7.3,7.4,7.5,
,Population densityb   (persons/km2),"6,200","6,240","6,260","6,240","6,280","6,310","6,350","6,400","6,440","6,450","6,500","6,540","6,620","6,640","6,680","6,740","6,780","6,830","6,880",
,Population   (% annual change),0.9,0.7,0.4,-0.2,0.8,0.4,0.6,0.9,0.6,0.2,0.7,0.7,1.1,0.4,0.7,0.9,0.6,0.8,0.8,
,Urban population   (% of total population),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
,,,,,,,,,,,,,,,,,,,,,
,LABOR FORCEc   calendar year (million),3.37,3.43,3.47,3.47,3.51,3.53,3.57,3.62,3.64,3.66,3.63,3.70,3.78,3.86,3.87,3.90,3.92,3.95,3.98,
,Employed,3.21,3.25,3.22,3.19,3.27,3.34,3.40,3.48,3.51,3.47,3.47,3.58,3.66,3.72,3.74,3.77,3.79,3.82,3.87,
,"     Agriculture, forestry, and fishingd",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,     Mining and quarryingd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,     Manufacturing,0.33,0.33,0.29,0.27,0.23,0.22,0.22,0.20,0.17,0.15,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.11,0.10,
,"     Electricity, gas, steam, and air-conditioning supply; water supply;
          sewerage, waste management, and remediation activitiese",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,     Construction,0.30,0.29,0.28,0.26,0.26,0.26,0.27,0.27,0.27,0.26,0.26,0.28,0.29,0.31,0.31,0.32,0.33,0.34,0.35,
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesf,0.47,0.47,0.48,0.48,0.54,0.57,0.58,0.60,0.59,0.56,0.55,0.54,0.56,0.52,0.50,0.48,0.47,0.45,0.44,
