KAZAKHSTAN,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,POPULATIONa,,,,,,,,,,,,,,,,,,,
,Total population   as of 1 July (million) ,14.9,14.9,14.9,14.9,15.0,15.1,15.3,15.5,15.7,16.1,16.3,16.6,16.8,17.0,17.3,17.5,17.8,18.0,18.3
,Population density   (persons/km2),6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7
,Population   (% annual change),-0.3,-0.2,0.0,0.3,0.7,0.9,1.1,1.2,1.2,2.7,1.4,1.4,1.4,1.5,1.5,1.5,1.4,1.3,1.3
,Urban population   (% of total population),56.5,56.7,56.8,56.9,57.1,57.1,57.3,52.9,53.2,54.3,54.5,54.7,54.8,54.9,56.5,56.8,57.2,57.4,58.0
,,,,,,,,,,,,,,,,,,,,
,LABOR FORCE   calendar year (million),7.0,7.5,7.4,7.7,7.8,7.9,8.0,8.2,8.4,8.5,8.6,8.8,9.0,9.0,9.0,8.9,9.0,9.0,9.1
,Employed,6.1,6.7,6.7,7.0,7.2,7.3,7.4,7.6,7.9,7.9,8.1,8.3,8.5,8.6,8.5,8.4,8.6,8.6,8.7
,"     Agriculture, forestry, and fishing",1.9,2.3,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.1,1.6,1.4,1.4,1.3,1.2
,     Mining and quarrying,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
,     Manufacturing,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6
,"     Electricity, gas, steam, and air-conditioning supply; water supply; 
          sewerage, waste management, and remediation activities",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2
,     Construction,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.6,0.6
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.2,1.3,1.3,1.3,1.4
,     Accommodation and food service activities,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
,     Transportation and storage,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6
,     Information and communication,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
,     Financial and insurance activities,–,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
,     Real estate activities,–,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
,     Other service activities,1.5,1.6,1.6,1.7,1.8,1.8,1.9,1.9,2.0,2.1,2.1,2.2,2.4,2.5,2.7,2.8,2.9,2.9,3.0
,Unemployedb,0.9,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4
,Unemployment rateb   (%),12.9,10.4,9.3,8.8,8.4,8.1,7.8,7.3,6.6,6.6,5.8,5.4,5.3,5.2,5.0,5.1,5.0,4.9,4.9
,Labor force   (% annual change),-1.4,7.5,-1.1,3.5,2.4,0.8,1.6,2.5,2.3,0.5,1.8,1.9,2.4,0.7,-0.9,-0.8,1.3,0.3,1.2
,Labor force participation rate   (%),66.0,70.2,70.1,70.0,69.9,69.4,69.7,70.4,71.1,70.7,71.2,71.6,71.7,71.7,70.7,69.7,70.0,69.7,70.0
,     Male,…,76.0,76.0,75.6,75.6,75.2,74.9,75.6,76.1,75.9,76.7,77.1,77.2,77.3,76.7,76.0,76.6,76.2,75.9
,     Female,…,65.0,64.9,65.0,64.8,64.3,65.0,65.7,66.7,66.1,66.2,66.7,66.8,66.7,65.4,64.1,64.1,63.8,64.8
,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTSc   calendar year (T billion),,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,"2,599.9","3,250.6","3,776.3","4,612.0","5,870.1","7,590.6","10,213.7","12,849.8","16,052.9","17,007.6","21,815.5","28,243.1","31,015.2","35,999.0","39,675.8","40,884.1","46,971.2","53,101.3","59,613.7*"
,"     Agriculture, forestry, and fishing",210.9,283.6,301.9,362.6,418.1,483.5,561.3,727.3,853.3,"1,045.4",984.0,"1,409.0","1,330.0","1,621.2","1,717.8","1,925.9","2,140.0","2,315.2","2,529.2*"
,     Mining and quarrying,339.1,371.5,457.7,557.7,799.6,"1,198.9","1,646.6","1,934.8","3,003.6","3,036.3","4,249.3","5,003.3","5,288.7","5,477.7","5,982.8","5,170.6","6,047.7","7,244.8","9,035.3*"
,     Manufacturing,428.9,534.6,547.4,655.7,781.6,914.0,"1,188.1","1,476.6","1,890.1","1,849.1","2,469.8","3,131.2","3,436.7","3,828.5","4,093.8","4,201.0","5,321.9","5,944.9","7,058.0*"
,"     Electricity, gas, steam, and air-conditioning supply",79.6,91.0,107.8,128.0,138.3,148.3,183.8,223.7,268.9,309.4,391.2,478.9,518.6,580.3,637.5,693.6,775.5,881.9,955.1*
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,66.8,95.1,99.6,99.5,104.0,101.8,117.4,141.8,155.0*
,     Construction,134.6,177.8,239.4,276.2,355.8,595.0,"1,001.2","1,213.2","1,298.7","1,341.5","1,680.5","1,816.6","1,915.7","2,145.2","2,358.0","2,447.7","2,758.8","2,896.7","3,270.9*"
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,323.5,392.9,459.5,536.9,731.6,897.9,"1,164.7","1,587.7","1,965.7","2,076.0","2,834.2","3,819.3","4,624.8","5,416.0","6,332.7","6,994.0","7,898.8","8,440.6","9,628.4*"
,     Accommodation and food service activities,14.8,18.9,25.8,39.0,51.6,68.1,84.2,114.5,132.0,143.3,188.9,239.6,277.3,311.2,366.5,420.2,528.8,614.6,620.5*
,     Transportation and storage,260.2,314.7,380.9,496.2,590.0,741.9,951.4,"1,160.2","1,372.1","1,408.8","1,750.8","1,937.0","2,294.1","2,736.5","3,144.6","3,520.5","3,876.0","4,442.2","4,873.5*"
,     Information and communication,38.3,47.8,56.9,74.6,101.3,154.9,227.4,321.5,397.0,465.6,675.2,699.0,811.3,946.2,"1,005.2","1,071.8",978.4,"1,021.0","1,102.8*"
,     Financial and insurance activities,80.7,111.5,130.5,145.8,172.2,245.8,475.5,761.6,848.5,844.0,792.4,550.5,655.3,986.5,"1,199.4","1,430.7","1,668.8","2,382.4","2,090.2*"
,     Real estate activities,280.9,392.4,474.1,662.6,901.2,"1,142.8","1,515.7","1,896.2","2,404.8","2,707.4","1,884.4","2,390.7","2,659.5","3,019.4","3,283.0","3,685.6","4,101.2","4,345.5","4,486.5*"
,"     Professional, scientific, and technical activities",,,,,,,,,,,841.8,"1,270.0","1,381.9","1,530.1","1,670.6","1,864.4","2,336.0","2,456.8","2,543.9*"
,     Administrative and support service activities,,,,,,,,,,,419.8,491.0,553.8,637.1,752.9,846.5,"1,005.3","1,232.6","1,360.4*"
,     Public administration and defense; compulsory social security,110.0,131.1,159.6,185.1,243.8,293.7,362.0,480.9,541.3,668.8,456.4,551.5,608.4,711.4,773.2,809.4,856.1,"1,043.2",934.1*
,     Education,96.2,118.2,131.4,159.8,218.9,263.5,321.7,418.9,452.2,550.7,704.2,886.3,949.2,"1,029.8","1,125.5","1,197.3","1,325.3","1,476.6","1,609.1*"
,     Human health and social work activities,52.5,68.3,77.5,83.6,113.5,129.8,158.8,213.4,237.4,304.9,377.9,482.1,516.6,577.1,666.3,730.0,888.8,"1,075.5","1,062.1*"
,"     Arts, entertainment, and recreation",…,…,…,…,…,…,…,…,…,…,130.8,176.1,197.7,243.4,289.1,329.3,357.6,404.9,449.7*
,     Other service activities,…,…,…,…,…,…,…,…,…,…,200.8,301.0,380.5,972.5,"1,119.4","1,312.7","1,323.0","1,521.2","1,696.5*"
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",0.9,9.0,9.6,6.3,9.4,10.4,11.4,13.6,13.3,13.8,16.4,13.5,28.2,26.9,29.1,30.9,32.1,35.9,39.6*
